id,rank,question,score,manual_name,source_file,section_title,section_index,chunk_index,doc_id,image_ids,preview
4,5,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.674242,水泵手册,水泵手册.txt,警告,36,0,manual_水泵手册_s36_c0,,# 警告 务必拧紧燃油开关杯。
6,1,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.726561,相机手册,相机手册.txt,■ 电池注意事项 电池不使用时电量会逐渐流失。,51,0,manual_相机手册_s51_c0,,# ■ 电池注意事项 电池不使用时电量会逐渐流失。 使用前1至2天充电。 不使用时关闭相机可延长电池寿命。 低温下电池容量下降；电量耗尽的电池在低温下可能无法工作。 请将充满电的备用电池放在温暖处，必要时更换；或将电池放在温暖处，拍摄时再装入相机。 请勿将电池直接与暖手宝或其他加热设备接触。
6,2,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.696947,空调手册,空调手册.txt,注,32,0,manual_空调手册_s32_c0,,# 注 ・若将遥控器对准其他电子设备，可能会对其进行操控，请务必将遥控器对准空调的信号接收器。 ・为保证正常操作，用软布擦拭信号发射器和接收器。
6,3,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.694489,相机手册,相机手册.txt,在电脑上使用存储卡注意事项,27,0,manual_相机手册_s27_c0,,# 在电脑上使用存储卡注意事项 • 首次使用前请格式化存储卡，在电脑或其他设备使用后务必重新格式化。 • 使用相机格式化的存储卡会自动创建文件夹。请勿使用电脑更改文件夹/文件名或删除文件夹，否则无法使用存储卡。 • 请使用相机删除图像文件。 • 编辑图像文件前请先复制或移动到硬盘，避免编辑原始文件。
6,4,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.691114,洗碗机手册,洗碗机手册.txt,洗碗机,0,41,manual_洗碗机手册_s0_c41,,用以下符号： 重要信息或使用提示 关乎生命和财产安全的危险情况警告 触电危险
6,5,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.685921,发电机手册,发电机手册.txt,机油警告系统,14,0,manual_发电机手册_s14_c0,,# 机油警告系统 当机油液位低于下限，发动机将自动停机。不补充机油则无法再次启动。
7,1,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.661743,空调手册,空调手册.txt,注,77,0,manual_空调手册_s77_c0,,# 注 滤网的位置和形状可能因机型不同而有所差异。
7,2,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.605077,水泵手册,水泵手册.txt,化油器调整,27,0,manual_水泵手册_s27_c0,,# 化油器调整 化油器是发动机关键部件，调整工作应交由具备专业知识、数据和设备的经销商完成。
7,3,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.60281,洗碗机手册,洗碗机手册.txt,洗碗机,0,61,manual_洗碗机手册_s0_c61,,命和财产安全的危险情况警告 触电危险
7,4,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.597687,健身追踪器手册,健身追踪器手册.txt,基础操作 了解如何管理设置、设置个人PIN码、操作屏幕和查看电量。,12,0,manual_健身追踪器手册_s12_c0,,# 基础操作 了解如何管理设置、设置个人PIN码、操作屏幕和查看电量。
7,5,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.595188,空调手册,空调手册.txt,注,36,0,manual_空调手册_s36_c0,,# 注 单冷型机型不支持此功能。
8,1,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.628865,空调手册,空调手册.txt,注,77,0,manual_空调手册_s77_c0,,# 注 滤网的位置和形状可能因机型不同而有所差异。
8,2,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.618958,水泵手册,水泵手册.txt,化油器调整,27,0,manual_水泵手册_s27_c0,,# 化油器调整 化油器是发动机关键部件，调整工作应交由具备专业知识、数据和设备的经销商完成。
8,3,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.582684,空调手册,空调手册.txt,注,74,0,manual_空调手册_s74_c0,,# 注 ・滤网的位置和形状可能因机型不同而有所差异。 ・请定期清洁室外机的热交换器盘管，盘管积垢可能会降低运行效率，增加能耗。
8,4,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.574686,健身追踪器手册,健身追踪器手册.txt,双击按钮 双击按钮可打开语音助手、快捷设置、通知和非接触式支付的快捷入口。点击快捷方式即可打开。,17,0,manual_健身追踪器手册_s17_c0,,# 双击按钮 双击按钮可打开语音助手、快捷设置、通知和非接触式支付的快捷入口。点击快捷方式即可打开。
8,5,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.568095,洗碗机手册,洗碗机手册.txt,洗碗机,0,15,manual_洗碗机手册_s0_c15,,用于其他几款型号。不同型号之间的差异将在手册中注明。
9,1,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.648126,水泵手册,水泵手册.txt,注意,33,0,manual_水泵手册_s33_c0,,# 注意 发动机不可无滤芯运行，否则会导致活塞及气缸过度磨损。
9,2,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.62079,健身追踪器手册,健身追踪器手册.txt,计时功能 闹钟会在你设定的时间震动提醒。最多可设置8个一次性或每周重复的闹钟。你还可以使用秒表计时或设置倒计时计时器。,42,0,manual_健身追踪器手册_s42_c0,,# 计时功能 闹钟会在你设定的时间震动提醒。最多可设置8个一次性或每周重复的闹钟。你还可以使用秒表计时或设置倒计时计时器。 注意：通过语音助手设置的闹钟和计时器与闹钟应用和计时器应用中的设置相互独立。如需更多信息，请参阅第30页“语音助手”。
9,3,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.576669,相机手册,相机手册.txt,■ 电池充电 使用随附的USB线充电。 环境温度低于+10℃（+50℉）或高于+35℃（+95℉）时，充电时间会延长。,52,0,manual_相机手册_s52_c0,,# ■ 电池充电 使用随附的USB线充电。 环境温度低于+10℃（+50℉）或高于+35℃（+95℉）时，充电时间会延长。 请勿在温度高于40℃（+104℉）时充电；温度低于+5℃（+41℉）时，电池无法充电。 请勿为充满电的电池再次充电。 但电池无需完全放电后再充电。 充电或使用后电池可能发热，属于正常现象。
9,4,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.57617,空调手册,空调手册.txt,关闭自动重启功能,69,0,manual_空调手册_s69_c0,Manual01_25|Manual01_26,# 关闭自动重启功能 1 打开前盖板，轻轻掀起盖板两侧即可。 <PIC>[Manual01_25] * 功能会根据机型有所调整。 2 按住开 / 关键 6 秒钟，设备会发出两声蜂鸣，指示灯闪烁 6 次。 <PIC>[Manual01_26] * 功能会根据机型有所调整。 - 如需重新开启该功能，再次按住开 / 关键 6
9,5,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.575376,空调手册,空调手册.txt,3M 多重防护滤网,72,0,manual_空调手册_s72_c0,Manual01_27|Manual01_28,# 3M 多重防护滤网 <PIC>[Manual01_27] * 功能会根据机型有所调整。 <PIC>[Manual01_28]
10,1,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.667985,洗碗机手册,洗碗机手册.txt,洗碗机,0,66,manual_洗碗机手册_s0_c66,,全的危险情况警告 触电危险
10,2,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.656873,洗碗机手册,洗碗机手册.txt,洗碗机,0,67,manual_洗碗机手册_s0_c67,,的危险情况警告 触电危险
10,3,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.607403,电钻手册,电钻手册.txt,充电器 您的工具使用专业充电器。使用充电器前，请务必阅读所有安全说明。请查阅本手册末尾的充电器与电池组兼容性表。,6,0,manual_电钻手册_s6_c0,,# 充电器 您的工具使用专业充电器。使用充电器前，请务必阅读所有安全说明。请查阅本手册末尾的充电器与电池组兼容性表。
10,4,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.603473,摩托艇手册,摩托艇手册.txt,技能： 拖曳速度启动与转向。,29,0,manual_摩托艇手册_s29_c0,,# 技能： 拖曳速度启动与转向。
10,5,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.603473,摩托艇手册,摩托艇手册.txt,技能： 搭载乘客登艇及操控。,61,0,manual_摩托艇手册_s61_c0,,# 技能： 搭载乘客登艇及操控。
11,1,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.755171,VR头显手册,VR头显手册.txt,使用头显时的姿势,21,0,manual_VR头显手册_s21_c0,,# 使用头显时的姿势 尽可能保持坐姿。支持站立模式的应用程序，请严格遵循其指示操作。
11,2,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.700051,电钻手册,电钻手册.txt,在线注册 感谢您的购买。立即注册产品，享受： • 保修服务：产品出现问题时，注册可帮助您获得更高效的保修服务。 • 所有权证明：发生火灾、洪水、盗窃等保险,32,0,manual_电钻手册_s32_c0,,# 在线注册 感谢您的购买。立即注册产品，享受： • 保修服务：产品出现问题时，注册可帮助您获得更高效的保修服务。 • 所有权证明：发生火灾、洪水、盗窃等保险 损失时，产品注册可作为购买凭证。 • 安全保障：注册后，如根据《联邦消费者安全法》需要发布安全通知，我们可及时联系您。 请访问www.dewalt.com/re
11,3,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.665732,冰箱手册,冰箱手册.txt,温度控制,73,0,manual_冰箱手册_s73_c0,,# 温度控制 冰箱配有控制装置，可调节冷藏室温度。
11,4,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.659806,冰箱手册,冰箱手册.txt,确保所有食物及容器稳定存放或堆叠。,51,0,manual_冰箱手册_s51_c0,,# 确保所有食物及容器稳定存放或堆叠。 开关冰箱门时食物可能掉落伤人。
11,5,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.657009,电钻手册,电钻手册.txt,三年有限保修 除保修外，工具还享有：,33,0,manual_电钻手册_s33_c0,,# 三年有限保修 除保修外，工具还享有：
12,1,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.74802,洗碗机手册,洗碗机手册.txt,洗碗机,0,66,manual_洗碗机手册_s0_c66,,全的危险情况警告 触电危险
12,2,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.731476,洗碗机手册,洗碗机手册.txt,洗碗机,0,67,manual_洗碗机手册_s0_c67,,的危险情况警告 触电危险
12,3,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.657186,功能键盘手册,功能键盘手册.txt,支持与服务 如您对所购产品有任何疑问或问题，请随时通过我们的售后系统联系我们。请详细说明问题并附上购买凭证。如需提出意见与建议，可发送电子邮件至设计团队。最后，,18,0,manual_功能键盘手册_s18_c0,,# 支持与服务 如您对所购产品有任何疑问或问题，请随时通过我们的售后系统联系我们。请详细说明问题并附上购买凭证。如需提出意见与建议，可发送电子邮件至设计团队。最后， 衷心感谢您购买并支持我们的产品。
12,4,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.64835,冰箱手册,冰箱手册.txt,门体报警,80,0,manual_冰箱手册_s80_c0,,# 门体报警 冰箱门长时间打开时，报警器鸣响。
12,5,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.625549,VR头显手册,VR头显手册.txt,镜片,30,0,manual_VR头显手册_s30_c0,,# 镜片 仅使用专用柔软干布擦拭镜片。请勿使用纸巾等非镜片专用纸质产品。
13,1,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.709709,洗碗机手册,洗碗机手册.txt,洗碗机,0,66,manual_洗碗机手册_s0_c66,,全的危险情况警告 触电危险
13,2,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.696748,洗碗机手册,洗碗机手册.txt,洗碗机,0,67,manual_洗碗机手册_s0_c67,,的危险情况警告 触电危险
13,3,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.632654,冰箱手册,冰箱手册.txt,电源线更换,64,0,manual_冰箱手册_s64_c0,,# 电源线更换 若电源线损坏，必须由制造商、其售后服务人员或同等资质人员更换，以避免危险。
13,4,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.629966,健身追踪器手册,健身追踪器手册.txt,基础操作 了解如何管理设置、设置个人PIN码、操作屏幕和查看电量。,12,0,manual_健身追踪器手册_s12_c0,,# 基础操作 了解如何管理设置、设置个人PIN码、操作屏幕和查看电量。
13,5,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.622209,功能键盘手册,功能键盘手册.txt,支持与服务 如您对所购产品有任何疑问或问题，请随时通过我们的售后系统联系我们。请详细说明问题并附上购买凭证。如需提出意见与建议，可发送电子邮件至设计团队。最后，,18,0,manual_功能键盘手册_s18_c0,,# 支持与服务 如您对所购产品有任何疑问或问题，请随时通过我们的售后系统联系我们。请详细说明问题并附上购买凭证。如需提出意见与建议，可发送电子邮件至设计团队。最后， 衷心感谢您购买并支持我们的产品。
14,1,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.712217,洗碗机手册,洗碗机手册.txt,洗碗机,0,30,manual_洗碗机手册_s0_c30,,的差异将在手册中注明。
14,2,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.710145,洗碗机手册,洗碗机手册.txt,洗碗机,0,29,manual_洗碗机手册_s0_c29,,间的差异将在手册中注明。
14,3,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.697315,洗碗机手册,洗碗机手册.txt,洗碗机,0,11,manual_洗碗机手册_s0_c11,,手册也适用于其他几款型号。不同型号之间的差异将在手册中注明。
14,4,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.695633,功能键盘手册,功能键盘手册.txt,支持与服务 如您对所购产品有任何疑问或问题，请随时通过我们的售后系统联系我们。请详细说明问题并附上购买凭证。如需提出意见与建议，可发送电子邮件至设计团队。最后，,18,0,manual_功能键盘手册_s18_c0,,# 支持与服务 如您对所购产品有任何疑问或问题，请随时通过我们的售后系统联系我们。请详细说明问题并附上购买凭证。如需提出意见与建议，可发送电子邮件至设计团队。最后， 衷心感谢您购买并支持我们的产品。
14,5,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.679917,电钻手册,电钻手册.txt,充电器 您的工具使用专业充电器。使用充电器前，请务必阅读所有安全说明。请查阅本手册末尾的充电器与电池组兼容性表。,6,0,manual_电钻手册_s6_c0,,# 充电器 您的工具使用专业充电器。使用充电器前，请务必阅读所有安全说明。请查阅本手册末尾的充电器与电池组兼容性表。
15,1,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.6785,相机手册,相机手册.txt,打印其他相机拍摄的图像 插入包含图像的存储卡可打印其他相机拍摄的图像。但需满足以下条件。,30,0,manual_相机手册_s30_c0,,# 打印其他相机拍摄的图像 插入包含图像的存储卡可打印其他相机拍摄的图像。但需满足以下条件。 • 将要打印的图像复制到根目录，而非文件夹中。 • 文件名由四个大写字母（A-Z）加四个数字组成。
15,2,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.654539,相机手册,相机手册.txt,■ 电池寿命 正常温度下，电池可重复充电约300次。,53,0,manual_相机手册_s53_c0,,# ■ 电池寿命 正常温度下，电池可重复充电约300次。 电池续航时间明显缩短时，说明已达到使用寿命，应更换。
15,3,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.642562,水泵手册,水泵手册.txt,注意,13,0,manual_水泵手册_s13_c0,,# 注意 启动发动机前务必检查油门操作是否正常。
15,4,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.637844,洗碗机手册,洗碗机手册.txt,洗碗机,0,14,manual_洗碗机手册_s0_c14,,适用于其他几款型号。不同型号之间的差异将在手册中注明。
15,5,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.636908,洗碗机手册,洗碗机手册.txt,洗碗机,0,16,manual_洗碗机手册_s0_c16,,于其他几款型号。不同型号之间的差异将在手册中注明。
16,1,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.790148,冰箱手册,冰箱手册.txt,温度控制,73,0,manual_冰箱手册_s73_c0,,# 温度控制 冰箱配有控制装置，可调节冷藏室温度。
16,2,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.716882,空调手册,空调手册.txt,注,36,0,manual_空调手册_s36_c0,,# 注 单冷型机型不支持此功能。
16,3,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.699173,功能键盘手册,功能键盘手册.txt,支持与服务 如您对所购产品有任何疑问或问题，请随时通过我们的售后系统联系我们。请详细说明问题并附上购买凭证。如需提出意见与建议，可发送电子邮件至设计团队。最后，,18,0,manual_功能键盘手册_s18_c0,,# 支持与服务 如您对所购产品有任何疑问或问题，请随时通过我们的售后系统联系我们。请详细说明问题并附上购买凭证。如需提出意见与建议，可发送电子邮件至设计团队。最后， 衷心感谢您购买并支持我们的产品。
16,4,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.62341,发电机手册,发电机手册.txt,AE00471 油箱滤网,49,0,manual_发电机手册_s49_c0,,# AE00471 油箱滤网 1. 打开油箱盖，取出滤网。 ① 滤网 2. 用溶剂清洁滤网，如有损坏请更换。 3. 擦拭干净后装回滤网。
16,5,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.618192,冰箱手册,冰箱手册.txt,门体报警,80,0,manual_冰箱手册_s80_c0,,# 门体报警 冰箱门长时间打开时，报警器鸣响。
17,1,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？",0.729208,冰箱手册,冰箱手册.txt,故障,119,0,manual_冰箱手册_s119_c0,,# 故障 可能原因
17,2,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？",0.729208,冰箱手册,冰箱手册.txt,故障,113,0,manual_冰箱手册_s113_c0,,# 故障 可能原因
17,3,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？",0.720955,儿童电动摩托车手册,儿童电动摩托车手册.txt,问题：车辆行驶时间过短。 可能原因：电池充电不足。 充电时间不够。每次使用后，或至少每月一次，为电池充电8至12小时。充电时间请勿超过20小时。 可能原因,24,0,manual_儿童电动摩托车手册_s24_c0,,# 问题：车辆行驶时间过短。 可能原因：电池充电不足。 充电时间不够。每次使用后，或至少每月一次，为电池充电8至12小时。充电时间请勿超过20小时。 可能原因 ：电池老化。 电池最终会失去储电能力。根据使用情况及环境，电池使用寿命为1至3年。请更换电池。
17,4,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？",0.715184,儿童电动摩托车手册,儿童电动摩托车手册.txt,问题：电池无法充电。 可能原因：电池接头或充电器接头松动。 确保电池接头与充电器接头对接牢固。 可能原因：充电器未通电。 确保充电器插入电源插座且电源通,23,0,manual_儿童电动摩托车手册_s23_c0,,# 问题：电池无法充电。 可能原因：电池接头或充电器接头松动。 确保电池接头与充电器接头对接牢固。 可能原因：充电器未通电。 确保充电器插入电源插座且电源通 电。 可能原因：充电器故障。 充电时充电器是否发热？若不发热，充电器可能损坏，需更换。
17,5,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？",0.689604,电钻手册,电钻手册.txt,重要充电注意事项 1. 环境温度在65°F至75°F（18°C-24°C）时为电池组充电，可获得最长寿命和最佳性能。不要在环境温度低于40°F（4.5°C）或,15,2,manual_电钻手册_s15_c2,,或将充电器浸入水或任何其他液体中。警告：触电危险。切勿让任何液体进入充电器内部。否则可能导致触电。 警告：灼伤危险。不要将电池组浸入任何液体中，或让液体进入电池组。切勿出于任何原因试图拆开电池组。如果电池组塑料外壳破裂或损坏，送回服务中心回收。
18,1,我想退货，但是已经超过7天无理由退换货期限了，还能退吗？,0.739421,摩托艇手册,摩托艇手册.txt,练习7：滑航速度操作,51,0,manual_摩托艇手册_s51_c0,,# 练习7：滑航速度操作
18,2,我想退货，但是已经超过7天无理由退换货期限了，还能退吗？,0.667367,摩托艇手册,摩托艇手册.txt,练习7：滑航速度操作,56,0,manual_摩托艇手册_s56_c0,Manual40_27,# 练习7：滑航速度操作 # 训练2：滑航速度转向操作 1. 加速至滑航速度。 2. 结合左右转向完成一系列圆圈与8字路线。 3. 重复训练，逐步提高速度并减小转弯半径，切勿急于求成。 <PIC>[Manual40_27]
18,3,我想退货，但是已经超过7天无理由退换货期限了，还能退吗？,0.648295,健身单车手册,健身单车手册.txt,请遵守以下警告：阅读并理解本机上的所有警告。！仔细阅读并理解装配说明。装配产品时，请始终让旁观者和儿童远离。在得到指示前，请勿将电源连接到机器上。请勿在室外、潮,0,29,manual_健身单车手册_s0_c29,Manual14_36,最近 7 天”。控制台显示前七天消耗卡路里（每段 50 卡路里）及运动数据总计。按左（◀）或右（▶）按钮浏览所有运动统计通道。4. 按增加（♠）按钮切换至“BMI”或身体质量指数。控制台根据用户设置显示 BMI 值。确保用户档案身高正确、体重最新。BMI 是显示体重与身高关系的实用工具，与体脂和健康风险相关。下表为 B
