id,rank,question,score,manual_name,source_file,section_title,section_index,chunk_index,doc_id,route,heuristic_route,result_route,image_ids,preview
3,3,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.691353,,,,,,service_qa_invoice_normal,service,service,service,,【客服主题】普通发票开具 【适用意图】invoice 【关键词】发票、开票、普通发票、个人 【标准答复】 1. 大部分商品支持开具普通发票或增值税发票 2. 电子发票一般在发货后1-3个工作日内开具，可直接下载 3. 纸质发票需要额外邮寄时间，一般3-7个工作日 4. 开具发票需要提供：发票抬头（个人或公司名称） 【需
3,4,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.662392,,,,,,service_qa_shipping_town,service,service,service,,【客服主题】乡镇配送规则 【适用意图】shipping_delivery 【关键词】乡镇、农村、偏远、配送 【标准答复】 1. 大部分乡镇支持配送，具体以结算页显示为准 2. 乡镇配送时效一般为3-5个工作日 3. 偏远乡镇可能需要5-7个工作日 4. 大部分乡镇不额外收取运费，与市区标准一致 5. 如有特殊收费，会在
4,1,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.690989,,,,,,service_qa_packaging_damage_proof,service,mixed,service,,【客服主题】包装破损拍照指引 【适用意图】packaging_damage 【关键词】包装破损、拍照、外包装、照片 【标准答复】 1. 发现包装破损时，建议当场验货并拍照留证 2. 需要拍摄：外包装六面照、商品受损部位细节照 3. 如已签收后发现，也请尽可能提供完整照片 4. 照片需清晰显示：快递面单信息、包装破损情况
4,2,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.681547,,,,,,service_policy_packaging_damage,service,mixed,service,,【客服主题】包装破损、运输损坏与签收后异常 【适用意图】packaging_damage 【关键词】包装破损、损坏、签收、当场验货、外包装、面单 【适用场景】 1. 用户签收前后发现包装破损、商品损坏或疑似运输导致异常 【标准答复】 1. 若包装破损或商品损坏，通常需要尽快保留外包装、快递面单和商品细节照片。 2. 即
4,3,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.672475,,,,,,service_qa_exchange_flow,service,mixed,service,,【客服主题】换货流程指引 【适用意图】return_exchange 【关键词】换货、更换、换型号、换颜色 【标准答复】 1. 换货需先申请，审核通过后寄回原商品 2. 收到退回商品后，会重新发出新商品 3. 换货时效一般为7-15个工作日 4. 同款换货一般不产生额外费用，差价需补缴或退还 【需核实信息】 - 订单号
4,4,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.67137,,,,,,service_policy_return_shipping,service,mixed,service,,【客服主题】退换货运费承担与包装要求 【适用意图】return_exchange 【关键词】运费、谁承担、包装盒丢了、包装费、少件、破损、质量问题 【适用场景】 1. 用户咨询退换货运费、原包装缺失、少件或质量问题导致的退换处理 【标准答复】 1. 若属于个人原因退换，一般需要结合平台规则判断寄回运费由谁承担。 2. 
6,1,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.788623,,,,,,service_qa_refund_timeline,service,service,service,,【客服主题】退款时效参考标准 【适用意图】refund_cancel 【关键词】退款、到账、多久、时效、原路返回 【标准答复】 1. 一般情况下，退款会在1-7个工作日内原路返回到支付账户 2. 微信/支付宝退款通常1-3个工作日到账 3. 信用卡退款可能需要3-15个工作日，具体取决于银行处理速度 4. 如超过15个
6,2,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.785775,,,,,,service_qa_cancel_order,service,service,service,,【客服主题】取消订单规则 【适用意图】refund_cancel 【关键词】取消订单、撤销订单、订单还没发货 【标准答复】 1. 若订单还未发货，通常可以直接取消并全额退款 2. 取消申请提交后，一般1-2小时内完成审核 3. 若订单已发货或已打包，需等待签收后退货流程 4. 部分定制商品可能不支持取消，请以实际页面提
6,3,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.78529,,,,,,service_policy_refund_timeline,service,service,service,,【客服主题】退款、取消订单与到账时效 【适用意图】refund_cancel 【关键词】退款、取消订单、到账、原路返回、信用卡、全额退款 【适用场景】 1. 用户申请退款、取消订单，或咨询退款到账路径和时效 【标准答复】 1. 若订单仍未发货或可取消，一般可先提交取消申请，再根据审核结果处理退款。 2. 退款通常会按原
6,4,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",0.711185,,,,,,service_policy_shipping_delivery,service,service,service,,【客服主题】物流配送、待揽收与乡镇/国际寄送 【适用意图】shipping_delivery 【关键词】待揽收、物流、快递、乡镇、国外、运费、多久能到 【适用场景】 1. 用户咨询待揽收、物流时效、乡镇配送、国际寄送及运费 【标准答复】 1. 乡镇、偏远地区或国际地址能否送达，以及运费和时效，通常需要结合收货地区、承运
7,1,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.670344,,,,,,service_policy_complaints,service,service,service,,【客服主题】虚假宣传、假货、服务态度和投诉升级 【适用意图】complaint_rights 【关键词】投诉、虚假宣传、假货、态度差、辱骂、赔偿、正品、颜色不符 【适用场景】 1. 用户反馈页面宣传与实物不符、怀疑假货、客服或快递人员服务态度恶劣等投诉问题 【标准答复】 1. 若用户反馈页面宣传与实物功能、颜色、性能不
7,2,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.669333,,,,,,service_qa_exchange_flow,service,service,service,,【客服主题】换货流程指引 【适用意图】return_exchange 【关键词】换货、更换、换型号、换颜色 【标准答复】 1. 换货需先申请，审核通过后寄回原商品 2. 收到退回商品后，会重新发出新商品 3. 换货时效一般为7-15个工作日 4. 同款换货一般不产生额外费用，差价需补缴或退还 【需核实信息】 - 订单号
7,3,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.668439,,,,,,service_qa_return_condition,service,service,service,,【客服主题】退货条件判断 【适用意图】return_exchange 【关键词】退货条件、能退吗、可以退吗、退不退 【标准答复】 1. 商品及包装完好、不影响二次销售的情况下，一般可退 2. 已拆封、已使用但不影响二次销售的，视具体商品而定 3. 贴身用品、食品、个人定制等可能不支持7天无理由 4. 若商品存在质量问题
7,4,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,0.666646,,,,,,service_policy_bulk_procurement,service,service,service,,【客服主题】企业采购、多问题并发与复合售后流程 【适用意图】complaint_rights 【关键词】企业采购、批量购买、20件、少发、发票开错、多个问题 【适用场景】 1. 企业采购或一次提问同时包含质量问题、少发、发票错误、换货、补寄等多个诉求 【标准答复】 1. 对于企业采购或大批量订单，通常需要将问题按质量问
8,1,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.752884,,,,,,service_policy_complaints,service,mixed,service,,【客服主题】虚假宣传、假货、服务态度和投诉升级 【适用意图】complaint_rights 【关键词】投诉、虚假宣传、假货、态度差、辱骂、赔偿、正品、颜色不符 【适用场景】 1. 用户反馈页面宣传与实物不符、怀疑假货、客服或快递人员服务态度恶劣等投诉问题 【标准答复】 1. 若用户反馈页面宣传与实物功能、颜色、性能不
8,2,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.736775,,,,,,service_policy_bulk_procurement,service,mixed,service,,【客服主题】企业采购、多问题并发与复合售后流程 【适用意图】complaint_rights 【关键词】企业采购、批量购买、20件、少发、发票开错、多个问题 【适用场景】 1. 企业采购或一次提问同时包含质量问题、少发、发票错误、换货、补寄等多个诉求 【标准答复】 1. 对于企业采购或大批量订单，通常需要将问题按质量问
8,3,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.686604,,,,,,service_qa_complaint_false_ad,service,mixed,service,,【客服主题】虚假宣传投诉 【适用意图】complaint_rights 【关键词】虚假宣传、货不对板、描述不符、功能不一样 【标准答复】 1. 如发现商品与页面描述严重不符，请提供页面截图 2. 需核实是否为质量问题、描述歧义或理解偏差 3. 如确认虚假宣传，可申请退货退款 4. 必要时可申请额外补偿，需提供证据并升级
8,4,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,0.67509,,,,,,service_qa_complaint_courier,service,mixed,service,,【客服主题】快递员服务投诉 【适用意图】complaint_rights 【关键词】快递员、送货员、态度差、辱骂、摔货 【标准答复】 1. 如遇快递员服务态度恶劣，请保留相关证据 2. 可提供快递单号、发生时间、地点等信息投诉 3. 核实后会根据情况对快递员进行相应处理 4. 如造成商品损坏，可同时申请赔偿 【需核实信
9,1,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.681505,,,,,,service_qa_packaging_damage_proof,service,unknown,service,,【客服主题】包装破损拍照指引 【适用意图】packaging_damage 【关键词】包装破损、拍照、外包装、照片 【标准答复】 1. 发现包装破损时，建议当场验货并拍照留证 2. 需要拍摄：外包装六面照、商品受损部位细节照 3. 如已签收后发现，也请尽可能提供完整照片 4. 照片需清晰显示：快递面单信息、包装破损情况
9,2,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.670762,,,,,,service_policy_packaging_damage,service,unknown,service,,【客服主题】包装破损、运输损坏与签收后异常 【适用意图】packaging_damage 【关键词】包装破损、损坏、签收、当场验货、外包装、面单 【适用场景】 1. 用户签收前后发现包装破损、商品损坏或疑似运输导致异常 【标准答复】 1. 若包装破损或商品损坏，通常需要尽快保留外包装、快递面单和商品细节照片。 2. 即
9,3,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.669725,,,,,,service_policy_expiry_and_food_safety,service,unknown,service,,【客服主题】临期、过期、受潮与食品类保障 【适用意图】packaging_damage 【关键词】临期、过期、保质期、受潮、食品、健康、赔偿 【适用场景】 1. 用户收到临期、过期、受潮或疑似影响健康的食品/易耗类商品 【标准答复】 1. 若收到临期、过期、受潮或包装破损的食品类商品，需要优先保留商品包装、生产日期、批
9,4,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,0.494255,,,,,,service_playbook_packaging_damage,service,unknown,service,,客服意图：包装破损、少件、污损与到货异常 命中关键词：包装破损、少发、少了一件、污渍、二手、损坏、划痕、瑕疵 回答时建议覆盖以下要点： 1. 确认问题类型：破损、少件、污损、瑕疵或疑似二手 2. 确认是否签收、是否当场验货、是否已使用 3. 提示提供外包装、面单、商品细节照片 4. 区分补发、换货、退货退款等处理路径 
10,1,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.798571,,,,,,service_qa_repair_normal,service,service,service,,【客服主题】常规维修申请 【适用意图】repair_warranty 【关键词】维修、报修、需要维修、故障 【标准答复】 1. 质保期内非人为损坏，一般可申请免费维修 2. 维修申请需提供：订单号、商品型号、故障描述 3. 部分商品支持上门取件维修服务 4. 维修周期一般为7-15个工作日，视故障复杂程度 【需核实信息
10,2,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.794486,,,,,,service_qa_repair_overtime,service,service,service,,【客服主题】维修超时处理 【适用意图】repair_warranty 【关键词】维修超时、半个月、15天、修了好久、还没修好 【标准答复】 1. 维修周期明显超过承诺时限，需尽快催办 2. 可提供维修单号帮助查询当前进度 3. 如因配件缺货导致延误，可申请退款或换货 4. 超长等待可申请升级处理或退款 【需核实信息】 
10,3,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.7853,,,,,,service_policy_quality_and_warranty,service,service,service,,【客服主题】质量问题、质保范围与人为损坏维修 【适用意图】repair_warranty 【关键词】质量问题、质保、保修、人为损坏、维修费用、保障卡 【适用场景】 1. 用户咨询商品在质保期内的质量问题、售后保障卡、以及人为损坏能否维修 【标准答复】 1. 若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象
10,4,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,0.783841,,,,,,service_policy_repair_delay_repeat_failure,service,service,service,,【客服主题】维修超时、重复故障与翻新争议 【适用意图】repair_warranty 【关键词】维修15天、半个月、二次故障、修不好、翻新机、重复故障 【适用场景】 1. 用户反馈送修超时未返还、维修后短期内再次故障，或怀疑收到翻新机 【标准答复】 1. 若维修周期明显超过承诺时限，需要尽快核实维修单状态、配件进度和当
11,1,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.26869,,,,,,service_policy_expiry_and_food_safety,service,manual,service,,【客服主题】临期、过期、受潮与食品类保障 【适用意图】packaging_damage 【关键词】临期、过期、保质期、受潮、食品、健康、赔偿 【适用场景】 1. 用户收到临期、过期、受潮或疑似影响健康的食品/易耗类商品 【标准答复】 1. 若收到临期、过期、受潮或包装破损的食品类商品，需要优先保留商品包装、生产日期、批
11,2,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.245665,,,,,,service_policy_bulk_procurement,service,manual,service,,【客服主题】企业采购、多问题并发与复合售后流程 【适用意图】complaint_rights 【关键词】企业采购、批量购买、20件、少发、发票开错、多个问题 【适用场景】 1. 企业采购或一次提问同时包含质量问题、少发、发票错误、换货、补寄等多个诉求 【标准答复】 1. 对于企业采购或大批量订单，通常需要将问题按质量问
11,3,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.243481,,,,,,service_policy_complaints,service,manual,service,,【客服主题】虚假宣传、假货、服务态度和投诉升级 【适用意图】complaint_rights 【关键词】投诉、虚假宣传、假货、态度差、辱骂、赔偿、正品、颜色不符 【适用场景】 1. 用户反馈页面宣传与实物不符、怀疑假货、客服或快递人员服务态度恶劣等投诉问题 【标准答复】 1. 若用户反馈页面宣传与实物功能、颜色、性能不
11,4,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,0.235536,,,,,,service_policy_packaging_damage,service,manual,service,,【客服主题】包装破损、运输损坏与签收后异常 【适用意图】packaging_damage 【关键词】包装破损、损坏、签收、当场验货、外包装、面单 【适用场景】 1. 用户签收前后发现包装破损、商品损坏或疑似运输导致异常 【标准答复】 1. 若包装破损或商品损坏，通常需要尽快保留外包装、快递面单和商品细节照片。 2. 即
12,1,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.740747,,,,,,service_policy_complaints,service,service,service,,【客服主题】虚假宣传、假货、服务态度和投诉升级 【适用意图】complaint_rights 【关键词】投诉、虚假宣传、假货、态度差、辱骂、赔偿、正品、颜色不符 【适用场景】 1. 用户反馈页面宣传与实物不符、怀疑假货、客服或快递人员服务态度恶劣等投诉问题 【标准答复】 1. 若用户反馈页面宣传与实物功能、颜色、性能不
12,2,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.734146,,,,,,service_policy_bulk_procurement,service,service,service,,【客服主题】企业采购、多问题并发与复合售后流程 【适用意图】complaint_rights 【关键词】企业采购、批量购买、20件、少发、发票开错、多个问题 【适用场景】 1. 企业采购或一次提问同时包含质量问题、少发、发票错误、换货、补寄等多个诉求 【标准答复】 1. 对于企业采购或大批量订单，通常需要将问题按质量问
12,3,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.705772,,,,,,service_policy_shipping_delivery,service,service,service,,【客服主题】物流配送、待揽收与乡镇/国际寄送 【适用意图】shipping_delivery 【关键词】待揽收、物流、快递、乡镇、国外、运费、多久能到 【适用场景】 1. 用户咨询待揽收、物流时效、乡镇配送、国际寄送及运费 【标准答复】 1. 乡镇、偏远地区或国际地址能否送达，以及运费和时效，通常需要结合收货地区、承运
12,4,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,0.680185,,,,,,service_qa_complaint_courier,service,service,service,,【客服主题】快递员服务投诉 【适用意图】complaint_rights 【关键词】快递员、送货员、态度差、辱骂、摔货 【标准答复】 1. 如遇快递员服务态度恶劣，请保留相关证据 2. 可提供快递单号、发生时间、地点等信息投诉 3. 核实后会根据情况对快递员进行相应处理 4. 如造成商品损坏，可同时申请赔偿 【需核实信
13,1,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.247342,,,,,,service_policy_expiry_and_food_safety,service,manual,service,,【客服主题】临期、过期、受潮与食品类保障 【适用意图】packaging_damage 【关键词】临期、过期、保质期、受潮、食品、健康、赔偿 【适用场景】 1. 用户收到临期、过期、受潮或疑似影响健康的食品/易耗类商品 【标准答复】 1. 若收到临期、过期、受潮或包装破损的食品类商品，需要优先保留商品包装、生产日期、批
13,2,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.245145,,,,,,service_qa_return_condition,service,manual,service,,【客服主题】退货条件判断 【适用意图】return_exchange 【关键词】退货条件、能退吗、可以退吗、退不退 【标准答复】 1. 商品及包装完好、不影响二次销售的情况下，一般可退 2. 已拆封、已使用但不影响二次销售的，视具体商品而定 3. 贴身用品、食品、个人定制等可能不支持7天无理由 4. 若商品存在质量问题
13,3,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.243118,,,,,,service_policy_bulk_procurement,service,manual,service,,【客服主题】企业采购、多问题并发与复合售后流程 【适用意图】complaint_rights 【关键词】企业采购、批量购买、20件、少发、发票开错、多个问题 【适用场景】 1. 企业采购或一次提问同时包含质量问题、少发、发票错误、换货、补寄等多个诉求 【标准答复】 1. 对于企业采购或大批量订单，通常需要将问题按质量问
13,4,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,0.23809,,,,,,service_qa_invoice_normal,service,manual,service,,【客服主题】普通发票开具 【适用意图】invoice 【关键词】发票、开票、普通发票、个人 【标准答复】 1. 大部分商品支持开具普通发票或增值税发票 2. 电子发票一般在发货后1-3个工作日内开具，可直接下载 3. 纸质发票需要额外邮寄时间，一般3-7个工作日 4. 开具发票需要提供：发票抬头（个人或公司名称） 【需
14,1,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.746516,,,,,,service_qa_packaging_damage_proof,service,service,service,,【客服主题】包装破损拍照指引 【适用意图】packaging_damage 【关键词】包装破损、拍照、外包装、照片 【标准答复】 1. 发现包装破损时，建议当场验货并拍照留证 2. 需要拍摄：外包装六面照、商品受损部位细节照 3. 如已签收后发现，也请尽可能提供完整照片 4. 照片需清晰显示：快递面单信息、包装破损情况
14,2,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.736728,,,,,,service_policy_packaging_damage,service,service,service,,【客服主题】包装破损、运输损坏与签收后异常 【适用意图】packaging_damage 【关键词】包装破损、损坏、签收、当场验货、外包装、面单 【适用场景】 1. 用户签收前后发现包装破损、商品损坏或疑似运输导致异常 【标准答复】 1. 若包装破损或商品损坏，通常需要尽快保留外包装、快递面单和商品细节照片。 2. 即
14,3,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.735783,,,,,,service_policy_expiry_and_food_safety,service,service,service,,【客服主题】临期、过期、受潮与食品类保障 【适用意图】packaging_damage 【关键词】临期、过期、保质期、受潮、食品、健康、赔偿 【适用场景】 1. 用户收到临期、过期、受潮或疑似影响健康的食品/易耗类商品 【标准答复】 1. 若收到临期、过期、受潮或包装破损的食品类商品，需要优先保留商品包装、生产日期、批
14,4,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,0.673333,,,,,,service_qa_exchange_flow,service,service,service,,【客服主题】换货流程指引 【适用意图】return_exchange 【关键词】换货、更换、换型号、换颜色 【标准答复】 1. 换货需先申请，审核通过后寄回原商品 2. 收到退回商品后，会重新发出新商品 3. 换货时效一般为7-15个工作日 4. 同款换货一般不产生额外费用，差价需补缴或退还 【需核实信息】 - 订单号
15,1,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.789947,,,,,,service_policy_complaints,service,service,service,,【客服主题】虚假宣传、假货、服务态度和投诉升级 【适用意图】complaint_rights 【关键词】投诉、虚假宣传、假货、态度差、辱骂、赔偿、正品、颜色不符 【适用场景】 1. 用户反馈页面宣传与实物不符、怀疑假货、客服或快递人员服务态度恶劣等投诉问题 【标准答复】 1. 若用户反馈页面宣传与实物功能、颜色、性能不
15,2,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.7814,,,,,,service_policy_bulk_procurement,service,service,service,,【客服主题】企业采购、多问题并发与复合售后流程 【适用意图】complaint_rights 【关键词】企业采购、批量购买、20件、少发、发票开错、多个问题 【适用场景】 1. 企业采购或一次提问同时包含质量问题、少发、发票错误、换货、补寄等多个诉求 【标准答复】 1. 对于企业采购或大批量订单，通常需要将问题按质量问
15,3,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.716519,,,,,,service_qa_complaint_false_ad,service,service,service,,【客服主题】虚假宣传投诉 【适用意图】complaint_rights 【关键词】虚假宣传、货不对板、描述不符、功能不一样 【标准答复】 1. 如发现商品与页面描述严重不符，请提供页面截图 2. 需核实是否为质量问题、描述歧义或理解偏差 3. 如确认虚假宣传，可申请退货退款 4. 必要时可申请额外补偿，需提供证据并升级
15,4,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,0.715075,,,,,,service_qa_complaint_courier,service,service,service,,【客服主题】快递员服务投诉 【适用意图】complaint_rights 【关键词】快递员、送货员、态度差、辱骂、摔货 【标准答复】 1. 如遇快递员服务态度恶劣，请保留相关证据 2. 可提供快递单号、发生时间、地点等信息投诉 3. 核实后会根据情况对快递员进行相应处理 4. 如造成商品损坏，可同时申请赔偿 【需核实信
16,1,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.677772,,,,,,service_qa_packaging_damage_proof,service,mixed,service,,【客服主题】包装破损拍照指引 【适用意图】packaging_damage 【关键词】包装破损、拍照、外包装、照片 【标准答复】 1. 发现包装破损时，建议当场验货并拍照留证 2. 需要拍摄：外包装六面照、商品受损部位细节照 3. 如已签收后发现，也请尽可能提供完整照片 4. 照片需清晰显示：快递面单信息、包装破损情况
16,2,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.674841,,,,,,service_qa_exchange_flow,service,mixed,service,,【客服主题】换货流程指引 【适用意图】return_exchange 【关键词】换货、更换、换型号、换颜色 【标准答复】 1. 换货需先申请，审核通过后寄回原商品 2. 收到退回商品后，会重新发出新商品 3. 换货时效一般为7-15个工作日 4. 同款换货一般不产生额外费用，差价需补缴或退还 【需核实信息】 - 订单号
16,3,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.671003,,,,,,service_qa_return_condition,service,mixed,service,,【客服主题】退货条件判断 【适用意图】return_exchange 【关键词】退货条件、能退吗、可以退吗、退不退 【标准答复】 1. 商品及包装完好、不影响二次销售的情况下，一般可退 2. 已拆封、已使用但不影响二次销售的，视具体商品而定 3. 贴身用品、食品、个人定制等可能不支持7天无理由 4. 若商品存在质量问题
16,4,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,0.66846,,,,,,service_policy_packaging_damage,service,mixed,service,,【客服主题】包装破损、运输损坏与签收后异常 【适用意图】packaging_damage 【关键词】包装破损、损坏、签收、当场验货、外包装、面单 【适用场景】 1. 用户签收前后发现包装破损、商品损坏或疑似运输导致异常 【标准答复】 1. 若包装破损或商品损坏，通常需要尽快保留外包装、快递面单和商品细节照片。 2. 即
17,1,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？",0.740961,,,,,,service_qa_exchange_flow,service,service,service,,【客服主题】换货流程指引 【适用意图】return_exchange 【关键词】换货、更换、换型号、换颜色 【标准答复】 1. 换货需先申请，审核通过后寄回原商品 2. 收到退回商品后，会重新发出新商品 3. 换货时效一般为7-15个工作日 4. 同款换货一般不产生额外费用，差价需补缴或退还 【需核实信息】 - 订单号
