id,question,keywords,matched_keywords,keyword_coverage,result_count,top1_score,avg_score,top_manuals,top_image_ids,hit_quality
19,"请问你们的商品能提供纸质版说明书吗？
电子版在哪里可以找到？",请问你们的商品能提供纸质版说明书吗|电子版在哪里可以找到,,0.0,5,0.6685,0.6549,空调手册|冰箱手册|可编程温控器手册,,low
20,"请问你们家的商品能寄到国外吗？
运费怎么算？大概需要多久能到？",请问你们家的商品能寄到国外吗|运费怎么算|大概需要多久能到,,0.0,5,0.6982,0.6729,摩托艇手册|相机手册|相机手册,,low
21,"我购买的商品，想开发票抬头为公司，需要注意什么？
抬头写错了，能重新开具吗？",我购买的商品|想开发票抬头为公司|需要注意什么|抬头写错了|能重新开具吗,,0.0,5,0.6733,0.6464,VR头显手册|冰箱手册|发电机手册,,low
22,"我收到商品后，发现商品有瑕疵，但是已经使用过了，能售后吗？
换货还是只能维修？",我收到商品后|发现商品有瑕疵|但是已经使用过了|能售后吗|换货还是只能维修,,0.0,5,0.8449,0.699,冰箱手册|功能键盘手册|冰箱手册,,low
23,我想取消订单，但是订单已经付款了，能全额退款吗？,我想取消订单|但是订单已经付款了|能全额退款吗,,0.0,5,0.7278,0.6963,冰箱手册|VR头显手册|摩托艇手册,,low
24,"请问你们的商品有售后保障卡吗？
卡丢了，还能享受售后服务吗？",请问你们的商品有售后保障卡吗|卡丢了|还能享受售后服务吗,,0.0,5,0.8302,0.757,VR头显手册|电钻手册|发电机手册,,low
25,请问你们家支持以旧换新服务吗？,请问你们家支持以旧换新服务吗,,0.0,5,0.6877,0.631,冰箱手册|烤箱手册|洗碗机手册,,low
26,"请问你们的智能客服能解答哪些问题？
智能客服解答不了的问题，怎么办？",请问你们的智能客服能解答哪些问题|智能客服解答不了的问题|怎么办,,0.0,5,0.6932,0.6666,健身追踪器手册|空调手册|健身追踪器手册,,low
33,"家支持7天无理由退货吗？
需要满足什么条件？",家支持|7|天无理由退货吗|需要满足什么条件,7,0.25,5,0.6573,0.64,VR头显手册|烤箱手册|洗碗机手册,,medium
34,"我购买的商品，收到后发现少发了一件，怎么办？
什么时候能补寄？需要我承担运费吗？",我购买的商品|收到后发现少发了一件|怎么办|什么时候能补寄|需要我承担运费吗,,0.0,5,0.6486,0.624,冰箱手册|VR头显手册|洗碗机手册,,low
35,想换成其他款式，能换货吗？,想换成其他款式|能换货吗,,0.0,5,0.7591,0.6818,儿童电动摩托车手册|水泵手册|健身追踪器手册,,low
36,请问商品的生产日期是什么时候？,请问商品的生产日期是什么时候,,0.0,5,0.6985,0.6932,洗碗机手册|洗碗机手册|洗碗机手册,,low
37,请问你们的商品能提供上门安装服务吗？,请问你们的商品能提供上门安装服务吗,,0.0,5,0.8477,0.8224,洗碗机手册|洗碗机手册|洗碗机手册,,low
38,请问你们的商品能提供试用装吗？,请问你们的商品能提供试用装吗,,0.0,5,0.9407,0.8177,洗碗机手册|洗碗机手册|冰箱手册,,low
39,我购买的商品，使用一段时间后出现质量问题，还能售后吗？,我购买的商品|使用一段时间后出现质量问题|还能售后吗,,0.0,5,0.6513,0.6425,发电机手册|功能键盘手册|相机手册,,low
40,"我想给商品更换成更大的尺寸，能换吗？
尺寸差价怎么处理？",我想给商品更换成更大的尺寸|能换吗|尺寸差价怎么处理,,0.0,5,0.7161,0.6804,洗碗机手册|洗碗机手册|水泵手册,,low
41,"快递丢失了，怎么办？""，
这种情况你们会怎么赔偿？多久能解决？",快递丢失了|怎么办|这种情况你们会怎么赔偿|多久能解决,,0.0,5,0.6974,0.6665,相机手册|相机手册|空调手册,,low
42,我购买的商品，想申请退款，但是已经使用过了，能退吗？,我购买的商品|想申请退款|但是已经使用过了|能退吗,,0.0,5,0.7821,0.7383,洗碗机手册|洗碗机手册|冰箱手册,,low
43,我购买的商品，快递送达时，我不在家，怎么办？,我购买的商品|快递送达时|我不在家|怎么办,,0.0,5,0.656,0.5831,空调手册|VR头显手册|水泵手册,,low
44,请问你们的优惠券能用于所有商品吗？,请问你们的优惠券能用于所有商品吗,,0.0,5,0.8484,0.7507,冰箱手册|洗碗机手册|洗碗机手册,,low
45,请问你们的商品能提供终身维修服务吗？,请问你们的商品能提供终身维修服务吗,,0.0,5,0.9266,0.8166,洗碗机手册|洗碗机手册|冰箱手册,,low
46,我上个月购买的家电，使用不到一个月就出现故障，联系售后寄回维修，现在已经维修15天了，还没收到，而且我发现商品是翻新机，并非全新，要求退货退款并赔偿，请问该怎么处理？,我上个月购买的家电|使用不到一个月就出现故障|联系售后寄回维修|现在已经维修|15|天了|还没收到|而且我发现商品是翻新机|并非全新|要求退货退款并赔偿|请问该怎么处理,,0.0,5,0.764,0.7255,健身追踪器手册|健身追踪器手册|可编程温控器手册,,low
47,"我在你们平台批量购买了100件商品用于企业采购，收到货后发现有20件存在质量问题，15件少发，而且发票开错了抬头，需要重新开具，同时想申请质量问题商品的换货和少发商品的补寄，请问流程是什么？"",",我在你们平台批量购买了|100|件商品用于企业采购|收到货后发现有|20|件存在质量问题|15|件少发|而且发票开错了抬头|需要重新开具|同时想申请质量问题商品的换货和少发商品的补寄|请问流程是什么,,0.0,5,0.795,0.7648,电钻手册|电钻手册|空调手册,drill0_16,low
48,我购买的食品类商品，收到后发现生产日期临近过期，而且包装破损，部分商品受潮无法食用，我要求退货退款并赔偿，同时担心食用了受潮商品影响健康，请问能提供相关保障吗？,我购买的食品类商品|收到后发现生产日期临近过期|而且包装破损|部分商品受潮无法食用|我要求退货退款并赔偿|同时担心食用了受潮商品影响健康|请问能提供相关保障吗,,0.0,5,0.7615,0.7426,冰箱手册|冰箱手册|冰箱手册,,low
49,我购买的商品包装破损，商品出现损坏，而且快递员拒绝承认是运输问题，同时我已经签收商品，请问还能申请售后吗？,我购买的商品包装破损|商品出现损坏|而且快递员拒绝承认是运输问题|同时我已经签收商品|请问还能申请售后吗,,0.0,5,0.7114,0.6819,功能键盘手册|相机手册|发电机手册,,low
50,我购买的大家电需要上门安装，但是安装人员上门后说需要额外收取配件费，而且安装服务原本应该是免费的，同时安装人员操作不规范，导致家电出现轻微损坏，请问该怎么处理？,我购买的大家电需要上门安装|但是安装人员上门后说需要额外收取配件费|而且安装服务原本应该是免费的|同时安装人员操作不规范|导致家电出现轻微损坏|请问该怎么处理,,0.0,5,0.7868,0.7602,空调手册|电钻手册|空调手册,,low
51,"我购买的商品在质保期内出现质量问题，寄回维修后，维修人员说需要更换配件，而且要收取配件费，但是质保期内应该免费维修，同时维修时间已经超过承诺的7天，请问该怎么处理？"",",我购买的商品在质保期内出现质量问题|寄回维修后|维修人员说需要更换配件|而且要收取配件费|但是质保期内应该免费维修|同时维修时间已经超过承诺的|7|请问该怎么处理,,0.0,5,0.8455,0.8074,冰箱手册|发电机手册|冰箱手册,,low
52,我购买的大型设备需要上门检修，但是检修人员上门后说设备故障无法现场修复，需要拉回仓库维修，而且维修时间不确定，同时我担心设备拉回过程中出现损坏，请问该怎么处理？,我购买的大型设备需要上门检修|但是检修人员上门后说设备故障无法现场修复|需要拉回仓库维修|而且维修时间不确定|同时我担心设备拉回过程中出现损坏|请问该怎么处理,,0.0,5,0.8344,0.7753,功能键盘手册|烤箱手册|烤箱手册,,low
53,我想试用商品，但是试用期间商品出现故障，而且不是人为操作导致的，同时我想延长试用期限，请问可以吗？另外故障商品能更换吗？,我想试用商品|但是试用期间商品出现故障|而且不是人为操作导致的|同时我想延长试用期限|请问可以吗|另外故障商品能更换吗,,0.0,5,0.7552,0.7309,VR头显手册|冰箱手册|电钻手册,,low
54,我购买的商品，收到后发现是临期商品（还有15天过期），但下单时页面未标注临期，而且商品包装上也没有临期提示，我要求退货退款并赔偿，请问可以吗？,我购买的商品|收到后发现是临期商品|还有|15|天过期|但下单时页面未标注临期|而且商品包装上也没有临期提示|我要求退货退款并赔偿|请问可以吗,15,0.1111,5,0.7873,0.7665,洗碗机手册|功能键盘手册|健身单车手册,,low
55,我购买的商品，收到后发现商品的颜色和详情页描述的不一致，详情页是深红色，实际收到的是浅红色，而且商品有轻微的异味，想申请换货,我购买的商品|收到后发现商品的颜色和详情页描述的不一致|详情页是深红色|实际收到的是浅红色|而且商品有轻微的异味|想申请换货,,0.0,5,0.8095,0.7389,空调手册|洗碗机手册|冰箱手册,,low
57,我购买的商品，快递寄到后，我拆开包装发现商品损坏，但是快递员已经离开，没有当场验货，请问还能申请售后吗？,我购买的商品|快递寄到后|我拆开包装发现商品损坏|但是快递员已经离开|没有当场验货|请问还能申请售后吗,,0.0,5,0.825,0.7033,冰箱手册|功能键盘手册|冰箱手册,,low
58,"我购买的商品，使用时发现商品的功能和详情页描述的不一致，详情页说支持无线充电，实际不支持，而且商品的续航时间也比描述的短很多，要求退货退款并赔偿，请问可以吗？"",",我购买的商品|使用时发现商品的功能和详情页描述的不一致|详情页说支持无线充电|实际不支持|而且商品的续航时间也比描述的短很多|要求退货退款并赔偿|请问可以吗,,0.0,5,0.7169,0.7025,电钻手册|空调手册|空调手册,drill0_16,low
64,使用吹风机时，人员需要佩戴哪些防护装备？,使用吹风机时|人员需要佩戴哪些防护装备,,0.0,5,0.819,0.6931,冰箱手册|健身追踪器手册|冰箱手册,,low
65,操作吹风机时，人员需要注意哪些安全要点？,操作吹风机时|人员需要注意哪些安全要点,,0.0,5,0.7883,0.759,VR头显手册|洗碗机手册|洗碗机手册,,low
66,使用吹风机时，如何调节化油器？,使用吹风机时|如何调节化油器,,0.0,5,0.889,0.8627,冰箱手册|洗碗机手册|洗碗机手册,,low
67,吹风机冷机时，该如何启动？,吹风机冷机时|该如何启动,,0.0,5,0.8818,0.8539,冰箱手册|洗碗机手册|洗碗机手册,,low
68,吹风机热机时，该如何启动？,吹风机热机时|该如何启动,,0.0,5,0.8818,0.8539,冰箱手册|洗碗机手册|洗碗机手册,,low
69,该如何关闭吹风机？,该如何关闭吹风机,,0.0,5,0.8782,0.8752,洗碗机手册|洗碗机手册|洗碗机手册,,low
70,空调的重要组成部件有哪些？,空调的重要组成部件有哪些,,0.0,5,0.7105,0.6817,空调手册|空调手册|相机手册,,low
71,如何找到空调遥控器的按键？,如何找到空调遥控器的按键,,0.0,5,0.8219,0.7658,空调手册|空调手册|发电机手册,,low
72,如何给空调遥控器安装电池？,如何给空调遥控器安装电池,,0.0,5,0.817,0.7287,空调手册|空调手册|空调手册,,low
73,如何安装空调遥控器支架？,如何安装空调遥控器支架,,0.0,5,0.8183,0.7279,空调手册|空调手册|空调手册,,low
74,如何用空调快速调节室内温度？,如何用空调快速调节室内温度,,0.0,5,0.9452,0.8396,空调手册|发电机手册|发电机手册,,low
75,如何使用空调的自清洁运行功能？,如何使用空调的自清洁运行功能,,0.0,5,0.8247,0.7623,空调手册|水泵手册|发电机手册,,low
76,如何使用空调的等离子净化功能？,如何使用空调的等离子净化功能,,0.0,5,0.7811,0.7175,空调手册|空调手册|空调手册,,low
77,单冷型空调如何开启自动运行模式？,单冷型空调如何开启自动运行模式,,0.0,5,0.8789,0.7824,空调手册|空调手册|水泵手册,,low
78,如何使用空调的自动转换运行功能？,如何使用空调的自动转换运行功能,,0.0,5,0.8389,0.7526,空调手册|空调手册|空调手册,,low
79,如何开启空调的节能制冷模式？,如何开启空调的节能制冷模式,,0.0,5,0.8367,0.7727,空调手册|空调手册|发电机手册,,low
80,无遥控器时如何操作空调？,无遥控器时如何操作空调,,0.0,5,0.8499,0.7841,空调手册|水泵手册|空调手册,,low
81,如何让空调实现自动重启？,如何让空调实现自动重启,,0.0,5,0.8612,0.7899,空调手册|空调手册|水泵手册,,low
82,不同型号空调的清洁频率是多少？,不同型号空调的清洁频率是多少,,0.0,5,0.7316,0.7089,水泵手册|空调手册|发电机手册,Manual31_30,low
83,如何清洁空调的空气滤网？,如何清洁空调的空气滤网,,0.0,5,0.8339,0.7884,空调手册|水泵手册|发电机手册,,low
84,如何清洁空调的3M多重防护滤网？,如何清洁空调的|3m|多重防护滤网,3m|多重防护滤网,0.6667,5,0.8038,0.776,空调手册|水泵手册|空调手册,,high
85,如何清洁空调的等离子滤网？,如何清洁空调的等离子滤网,,0.0,5,0.7627,0.7221,空调手册|空调手册|空调手册,,low
86,如何快速组装蒸汽清洁机？,如何快速组装蒸汽清洁机,,0.0,5,0.9131,0.7983,冰箱手册|冰箱手册|空调手册,,low
87,蒸汽清洁机有哪些实用的产品功能？如何快速上手使用？,蒸汽清洁机有哪些实用的产品功能|如何快速上手使用,,0.0,5,0.7427,0.7335,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
88,如何使用蒸汽清洁机清洁硬质地面？,如何使用蒸汽清洁机清洁硬质地面,,0.0,5,0.7578,0.7531,空调手册|冰箱手册|冰箱手册,Manual01_31,low
89,组装人体工学椅涉及哪些部件？,组装人体工学椅涉及哪些部件,,0.0,5,0.6847,0.6439,水泵手册|摩托艇手册|冰箱手册,,low
90,椅子的扶手使用一段时间后为什么会松动？,椅子的扶手使用一段时间后为什么会松动,,0.0,5,0.7572,0.6841,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
91,这款椅子有哪些功能？,这款椅子有哪些功能,,0.0,5,0.7629,0.6983,空调手册|可编程温控器手册|冰箱手册,,low
92,洗碗机的部件有哪些？,洗碗机的部件有哪些,,0.0,5,0.7183,0.6684,水泵手册|空调手册|空调手册,,low
93,首次使用时，如何将洗碗机连接到排水口？,首次使用时|如何将洗碗机连接到排水口,,0.0,5,0.762,0.7344,水泵手册|摩托艇手册|水泵手册,Manual31_19,low
94,使用前如何为洗碗机添加专用盐？,使用前如何为洗碗机添加专用盐,,0.0,5,0.8589,0.7719,摩托艇手册|发电机手册|健身追踪器手册,,low
95,如何为洗碗机添加洗涤剂？,如何为洗碗机添加洗涤剂,,0.0,5,0.8683,0.7625,摩托艇手册|发电机手册|发电机手册,,low
96,如何为洗碗机添加洗涤块？,如何为洗碗机添加洗涤块,,0.0,5,0.8683,0.7625,摩托艇手册|发电机手册|发电机手册,,low
97,如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果？,如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果,,0.0,5,0.7688,0.73,摩托艇手册|健身追踪器手册|洗碗机手册,,low
98,哪些物品不适合在洗碗机中清洗？,哪些物品不适合在洗碗机中清洗,,0.0,5,0.6494,0.6287,洗碗机手册|洗碗机手册|洗碗机手册,,low
99,如何根据洗碗机型号安装餐具篮？,如何根据洗碗机型号安装餐具篮,,0.0,5,0.9093,0.8718,VR头显手册|洗碗机手册|洗碗机手册,,low
100,使用洗碗机前如何安装可折叠下层篮架？,使用洗碗机前如何安装可折叠下层篮架,,0.0,5,0.8246,0.8028,空调手册|洗碗机手册|洗碗机手册,Manual01_2|Manual01_3,low
101,如何调节洗碗机满载时上下碗篮的高度？,如何调节洗碗机满载时上下碗篮的高度,,0.0,5,0.8052,0.7471,洗碗机手册|冰箱手册|吹风机手册,Manual06_13,low
102,如何清洁洗碗机的进水管滤网？,如何清洁洗碗机的进水管滤网,,0.0,5,0.8023,0.7438,冰箱手册|冰箱手册|水泵手册,,low
103,如何清洁洗碗机的上层喷淋臂？,如何清洁洗碗机的上层喷淋臂,,0.0,5,0.7054,0.6915,VR头显手册|冰箱手册|健身追踪器手册,,low
104,如何拆除空气净化器滤网的塑料包装？,如何拆除空气净化器滤网的塑料包装,,0.0,5,0.8446,0.7834,空调手册|空调手册|发电机手册,,low
105,如何安装空气净化器的脚轮？,如何安装空气净化器的脚轮,,0.0,5,0.7796,0.7628,洗碗机手册|空调手册|洗碗机手册,,low
106,空气净化器通常有哪些模式？如何设置？这些模式有什么特点？,空气净化器通常有哪些模式|如何设置|这些模式有什么特点,,0.0,5,0.7536,0.7384,空调手册|空调手册|相机手册,,low
107,空气净化器的室内空气质量指示灯是什么？,空气净化器的室内空气质量指示灯是什么,,0.0,5,0.8298,0.7929,空调手册|空调手册|发电机手册,,low
108,如何清洁空气净化器的设备内外？,如何清洁空气净化器的设备内外,,0.0,5,0.8217,0.7179,空调手册|空调手册|发电机手册,,low
109,如何清洁空气净化器的滤网？,如何清洁空气净化器的滤网,,0.0,5,0.8048,0.7718,空调手册|水泵手册|空调手册,,low
110,如何更换空气净化器的滤网？,如何更换空气净化器的滤网,,0.0,5,0.8219,0.7658,空调手册|空调手册|发电机手册,,low
111,如何清洁空气净化器的灰尘传感器？,如何清洁空气净化器的灰尘传感器,,0.0,5,0.8218,0.7911,空调手册|水泵手册|空调手册,,low
112,空气净化器需要长期存放时该怎么做？,空气净化器需要长期存放时该怎么做,,0.0,5,0.8675,0.7955,空调手册|水泵手册|发电机手册,,low
113,如何了解这款健身单车的技术规格？,如何了解这款健身单车的技术规格,,0.0,5,0.7702,0.7542,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
114,启动健身单车前，我需要做什么？,启动健身单车前|我需要做什么,,0.0,5,0.6906,0.6704,健身追踪器手册|健身追踪器手册|水泵手册,,low
115,我听说买的这款健身单车配有控制台和显示功能，能为我介绍一下吗？,我听说买的这款健身单车配有控制台和显示功能|能为我介绍一下吗,,0.0,5,0.7537,0.712,健身追踪器手册|健身追踪器手册|空调手册,,low
116,在健身单车上运动前，我需要调整什么来保证运动的舒适度？,在健身单车上运动前|我需要调整什么来保证运动的舒适度,,0.0,5,0.7654,0.7349,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
117,使用健身单车的轻松骑行类别时，我能体验到哪些预设运动程序？,使用健身单车的轻松骑行类别时|我能体验到哪些预设运动程序,,0.0,5,0.8281,0.7806,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
118,使用健身单车的山地类别时，我能体验到哪些预设运动程序？,使用健身单车的山地类别时|我能体验到哪些预设运动程序,,0.0,5,0.703,0.6985,健身追踪器手册|健身追踪器手册|冰箱手册,,low
119,挑战健身单车的最高难度类别时，我能体验到哪些预设运动程序？,挑战健身单车的最高难度类别时|我能体验到哪些预设运动程序,,0.0,5,0.8143,0.7644,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
120,如果我想编辑健身单车的用户档案，需要遵循哪些步骤？,如果我想编辑健身单车的用户档案|需要遵循哪些步骤,,0.0,5,0.7491,0.719,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
121,我想在使用健身单车时设置心率目标，能否根据我的年龄为我推荐合适的目标心率？,我想在使用健身单车时设置心率目标|能否根据我的年龄为我推荐合适的目标心率,,0.0,5,0.7612,0.7288,健身单车手册|健身追踪器手册|健身追踪器手册,Manual14_23,low
122,我听说这款健身单车有体能测试程序，这是什么功能？,我听说这款健身单车有体能测试程序|这是什么功能,,0.0,5,0.7285,0.7176,健身追踪器手册|健身追踪器手册|健身追踪器手册,Manual16_29,low
123,如果要给电钻充电，需要遵循哪些步骤？,如果要给电钻充电|需要遵循哪些步骤,,0.0,5,0.8897,0.8578,冰箱手册|洗碗机手册|洗碗机手册,,low
124,我的DCB101型号电钻指示灯闪烁时，这些闪烁标识代表什么含义？,我的|dcb101|型号电钻指示灯闪烁时|这些闪烁标识代表什么含义,,0.0,5,0.6977,0.672,电钻手册|空调手册|水泵手册,,low
126,使用电钻时，如何安装单套无键夹头？,使用电钻时|如何安装单套无键夹头,,0.0,5,0.8985,0.8623,VR头显手册|洗碗机手册|洗碗机手册,,low
127,如果要安装和拆卸电钻的电池组，需要遵循什么步骤？,如果要安装和拆卸电钻的电池组|需要遵循什么步骤,,0.0,5,0.9767,0.915,洗碗机手册|洗碗机手册|洗碗机手册,,low
128,使用电钻的腰带挂钩和批头夹时，需要特别注意什么？,使用电钻的腰带挂钩和批头夹时|需要特别注意什么,,0.0,5,0.8117,0.7788,洗碗机手册|洗碗机手册|健身追踪器手册,,low
129,购买电钻后，应配备哪些附件？,购买电钻后|应配备哪些附件,,0.0,5,0.8864,0.8591,冰箱手册|洗碗机手册|洗碗机手册,,low
130,电钻的三年有限保修包含哪些内容？,电钻的三年有限保修包含哪些内容,,0.0,5,0.767,0.7296,功能键盘手册|电钻手册|电钻手册,,low
131,购买健身追踪器后，包装盒里应该有什么？,购买健身追踪器后|包装盒里应该有什么,,0.0,5,0.7268,0.7028,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
132,我刚发现健身追踪器电量低，该如何正确为其充电？,我刚发现健身追踪器电量低|该如何正确为其充电,,0.0,5,0.7583,0.7415,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
133,为了让健身追踪器性能更佳，日常佩戴和运动时该将其佩戴在什么位置？,为了让健身追踪器性能更佳|日常佩戴和运动时该将其佩戴在什么位置,,0.0,5,0.7345,0.7213,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
134,我的健身追踪器表带太紧了，该如何扣紧表带？,我的健身追踪器表带太紧了|该如何扣紧表带,,0.0,5,0.7053,0.6807,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
135,我想取下健身追踪器，该如何正确拆卸表带？,我想取下健身追踪器|该如何正确拆卸表带,,0.0,5,0.801,0.745,健身追踪器手册|相机手册|健身追踪器手册,,low
136,我听说可以操作健身追踪器的界面，具体该遵循哪些步骤？,我听说可以操作健身追踪器的界面|具体该遵循哪些步骤,,0.0,5,0.7444,0.7295,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
137,健身追踪器能对手机的通知实现哪些功能？,健身追踪器能对手机的通知实现哪些功能,,0.0,5,0.8574,0.8208,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
138,能告诉我健身追踪器是如何追踪皮肤温度变化的吗？,能告诉我健身追踪器是如何追踪皮肤温度变化的吗,,0.0,5,0.7325,0.6999,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
139,通过运动应用，健身追踪器是如何追踪并分析我的运动情况的？,通过运动应用|健身追踪器是如何追踪并分析我的运动情况的,通过运动应用,0.5,5,0.6956,0.6644,健身追踪器手册|健身追踪器手册|健身追踪器手册,,medium
140,健身追踪器是如何测量我的心率的？,健身追踪器是如何测量我的心率的,,0.0,5,0.7505,0.7316,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
141,我该如何仅使用健身追踪器完成消费支付？,我该如何仅使用健身追踪器完成消费支付,,0.0,5,0.7558,0.7368,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
142,使用健身追踪器时，我可能会遇到哪些问题以及该如何解决？,使用健身追踪器时|我可能会遇到哪些问题以及该如何解决,,0.0,5,0.7866,0.7215,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
144,我想给健身追踪器设置锁屏，该如何实现？,我想给健身追踪器设置锁屏|该如何实现,,0.0,5,0.7551,0.746,健身追踪器手册|健身追踪器手册|健身追踪器手册,,low
145,使用冰箱冰柜时需要注意什么？只需告诉我手册中的前五条。,使用冰箱冰柜时需要注意什么|只需告诉我手册中的前五条,,0.0,5,0.7624,0.7092,摩托艇手册|洗碗机手册|洗碗机手册,,low
146,给冰箱连接电源时，需要做到哪些注意事项？只需告诉我手册中的前五条。,给冰箱连接电源时|需要做到哪些注意事项|只需告诉我手册中的前五条,,0.0,5,0.7437,0.695,摩托艇手册|相机手册|洗碗机手册,,low
153,考虑到燃油高度易燃且有毒，使用发电机时我需要注意什么？,考虑到燃油高度易燃且有毒|使用发电机时我需要注意什么,,0.0,5,0.7521,0.7077,冰箱手册|摩托艇手册|空调手册,,low
154,发电机工作后，发动机和消音器可能会发烫，这种情况下我该如何保证自身安全？,发电机工作后|发动机和消音器可能会发烫|这种情况下我该如何保证自身安全,,0.0,5,0.7801,0.765,洗碗机手册|洗碗机手册|洗碗机手册,,low
155,日常使用中，如何防止发电机触电事故的发生？,日常使用中|如何防止发电机触电事故的发生,,0.0,5,0.6269,0.6189,洗碗机手册|电钻手册|摩托艇手册,,low
156,需要通过发电机的燃油开关旋钮供油时，我该遵循哪些步骤？,需要通过发电机的燃油开关旋钮供油时|我该遵循哪些步骤,,0.0,5,0.7939,0.7269,洗碗机手册|洗碗机手册|冰箱手册,,low
