id,dominant_route,confidence,risk_level,sub_question_count,service_route_count,mixed_route_count,manual_route_count,answer_chars,image_count,has_pic_marker,has_numbered_structure,keyword_coverage,used_fallback,service_like_question,classifier_used_count,classifier_dominant_label,classifier_avg_confidence,question,answer
17,service,0.7826,low,2,1,0,1,199,2,True,True,1.0,False,True,1,manual,0.6552,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？","我先按你的问题逐项说明：
1. 关于“我想换货，但是原来的商品包装盒丢了，还能换吗”：若商品仍在7天无理由时效内，且商品及包装保持完好、不影响二次销售，一般可申请退货或换货。
2. 关于“需要我额外支付包装费吗”：根据[空调手册]，# 室外机 <PIC> * 功能会根据机型有所调整。 相关图示：<PIC>
为尽快帮你核实处理，建议补充：订单号、问题类型、外包装情况、商品照片、物流凭证、签收时间。"
18,service,0.8182,low,1,1,0,0,90,0,False,False,0.2727,False,True,0,service,0.5417,我想退货，但是已经超过7天无理由退换货期限了，还能退吗？,"超过无理由时效后，是否还能退换通常要结合商品质量情况、售后保障期和订单审核结果判断。
为尽快帮你核实处理，建议补充：订单号、签收时间、使用情况、故障描述、问题图片或视频、商品状态。"
19,service,0.8333,low,1,1,0,0,92,0,False,False,0.28,False,False,0,manual,0.6269,"请问你们的商品能提供纸质版说明书吗？
电子版在哪里可以找到？","若纸质版说明书缺失，通常需要先核实订单、商品型号和缺失情况，再判断是否支持补发或补充电子资料。
为尽快帮你核实处理，建议补充：商品型号、订单号、资料类型、缺失情况、发票类型、抬头信息。"
20,service,0.8333,low,1,1,0,0,95,0,False,False,0.0833,False,True,0,service,0.4974,"请问你们家的商品能寄到国外吗？
运费怎么算？大概需要多久能到？","乡镇、偏远地区或国际地址能否送达，以及运费和时效，通常需要结合收货地区、承运方式和订单信息核实。
为尽快帮你核实处理，建议补充：订单号、物流单号、收货地区、下单时间、物流异常截图、少件明细。"
21,service,0.8333,low,2,2,0,0,188,0,False,True,1.0,False,True,0,manual,0.7114,"我购买的商品，想开发票抬头为公司，需要注意什么？
抬头写错了，能重新开具吗？","我先按你的问题逐项说明：
1. 关于“我购买的商品，想开发票抬头为公司，需要注意什么”：开票前需要先确认订单是否支持开票，以及需要电子发票还是纸质发票、个人抬头还是企业抬头。
2. 关于“抬头写错了，能重新开具吗”：若抬头或开票信息填写错误，是否支持重开通常要结合发票状态、开票进度和平台规则核实。
为尽快帮你核实处理，建议补充：订单号、发票类型、抬头信息、税号、是否已开具。"
22,service,0.8462,low,1,1,0,0,105,0,False,False,0.1429,False,True,0,service,0.8121,"我收到商品后，发现商品有瑕疵，但是已经使用过了，能售后吗？
换货还是只能维修？","若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象和售后凭证，再判断是否走免费维修、换货或其他售后流程。
为尽快帮你核实处理，建议补充：订单号、购买时间、故障描述、维修单号、售后凭证、维修承诺时限。"
23,service,0.7778,low,1,1,0,0,70,0,False,False,0.1765,False,True,0,service,0.8462,我想取消订单，但是订单已经付款了，能全额退款吗？,"若订单仍未发货或可取消，一般可先提交取消申请，再根据审核结果处理退款。
为尽快帮你核实处理，建议补充：订单号、订单状态、支付方式、退款原因。"
24,service,0.85,low,2,2,0,0,192,0,False,True,1.0,False,True,0,service,0.5164,"请问你们的商品有售后保障卡吗？
卡丢了，还能享受售后服务吗？","我先按你的问题逐项说明：
1. 关于“请问你们的商品有售后保障卡吗”：若保障卡丢失，不代表一定无法售后，一般仍可结合订单记录、设备信息或其他购买凭证辅助核实。
2. 关于“卡丢了，还能享受售后服务吗”：若保障卡丢失，不代表一定无法售后，一般仍可结合订单记录、设备信息或其他购买凭证辅助核实。
为尽快帮你核实处理，建议补充：订单号、购买时间、故障描述、维修单号、售后凭证、维修承诺时限。"
25,service,0.8333,medium,1,1,0,0,95,0,False,False,0.0,False,True,0,service,0.7454,请问你们家支持以旧换新服务吗？,"乡镇、偏远地区或国际地址能否送达，以及运费和时效，通常需要结合收货地区、承运方式和订单信息核实。
为尽快帮你核实处理，建议补充：订单号、物流单号、收货地区、下单时间、物流异常截图、签收时间。"
26,service,0.8462,medium,1,1,0,0,105,0,False,False,0.0435,False,True,0,manual,0.8877,"请问你们的智能客服能解答哪些问题？
智能客服解答不了的问题，怎么办？","若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象和售后凭证，再判断是否走免费维修、换货或其他售后流程。
为尽快帮你核实处理，建议补充：订单号、物流单号、收货地区、下单时间、物流异常截图、购买时间。"
33,service,0.8333,low,1,1,0,0,91,0,False,False,0.25,False,True,0,service,0.7692,"家支持7天无理由退货吗？
需要满足什么条件？","若商品仍在7天无理由时效内，且商品及包装保持完好、不影响二次销售，一般可申请退货或换货。
为尽快帮你核实处理，建议补充：订单号、签收时间、商品状态、包装是否完整、商品类型、使用情况。"
34,service,0.875,low,3,3,0,0,244,0,False,True,1.0,False,True,0,manual,0.6855,"我购买的商品，收到后发现少发了一件，怎么办？
什么时候能补寄？需要我承担运费吗？","我先按你的问题逐项说明：
1. 关于“我购买的商品，收到后发现少发了一件，怎么办”：若包装破损或商品损坏，通常需要尽快保留外包装、快递面单和商品细节照片。
2. 关于“什么时候能补寄”：若已承诺补寄但长时间未处理，通常需要重新核实售后单状态、补寄单号和预计时效。
3. 关于“需要我承担运费吗”：乡镇、偏远地区或国际地址能否送达，以及运费和时效，通常需要结合收货地区、承运方式和订单信息核实。
为尽快帮你核实处理，建议补充：订单号、签收时间、外包装照片、商品损坏照片、物流单号、收货地区。"
35,service,0.8333,low,1,1,0,0,91,0,False,False,0.1,False,True,0,manual,0.4583,想换成其他款式，能换货吗？,"若商品仍在7天无理由时效内，且商品及包装保持完好、不影响二次销售，一般可申请退货或换货。
为尽快帮你核实处理，建议补充：订单号、签收时间、商品状态、包装是否完整、商品类型、问题类型。"
36,service,0.8462,low,1,1,0,0,96,0,False,False,0.3077,False,False,1,service,0.623,请问商品的生产日期是什么时候？,"若收到临期、过期、受潮或包装破损的食品类商品，需要优先保留商品包装、生产日期、批次信息和问题照片。
为尽快帮你核实处理，建议补充：订单号、物流单号、收货地区、下单时间、物流异常截图、商品照片。"
37,service,0.8,low,1,1,0,0,77,0,False,False,0.4375,False,True,0,manual,0.508,请问你们的商品能提供上门安装服务吗？,"是否提供上门安装或上门检修，需要结合商品类型、地区覆盖范围和服务政策核实。
为尽快帮你核实处理，建议补充：订单号、商品型号、预约时间、收费明细、现场照片。"
38,service,0.7778,low,1,1,0,0,73,0,False,False,0.3846,False,False,0,service,0.7267,请问你们的商品能提供试用装吗？,"是否提供试用装或试用活动，需要先核实具体活动规则和商品范围。
为尽快帮你核实处理，建议补充：活动信息、订单号、试用状态、故障描述、问题照片/视频。"
39,service,0.8462,low,1,1,0,0,105,0,False,False,0.4286,False,True,0,service,0.6825,我购买的商品，使用一段时间后出现质量问题，还能售后吗？,"若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象和售后凭证，再判断是否走免费维修、换货或其他售后流程。
为尽快帮你核实处理，建议补充：订单号、购买时间、故障描述、维修单号、售后凭证、维修承诺时限。"
40,service,0.8333,low,1,1,0,0,90,0,False,False,0.1429,False,False,0,manual,0.6643,"我想给商品更换成更大的尺寸，能换吗？
尺寸差价怎么处理？","因尺寸、颜色、款式等个人偏好问题申请退换时，通常需要先核实商品状态、包装完整性和时效。
为尽快帮你核实处理，建议补充：订单号、签收时间、商品状态、包装是否完整、商品类型、使用情况。"
41,service,0.8462,medium,1,1,0,0,93,0,False,False,0.05,False,True,0,manual,0.8812,"快递丢失了，怎么办？""
这种情况你们会怎么赔偿？多久能解决？","若涉及快递员、安装人员或客服态度问题，也需要记录发生时间、对象和证据，再按投诉流程升级处理。
为尽快帮你核实处理，建议补充：订单号、页面截图、商品照片、聊天记录、发生时间、问题商品清单。"
42,service,0.7778,low,1,1,0,0,70,0,False,False,0.1053,False,True,0,service,0.9187,我购买的商品，想申请退款，但是已经使用过了，能退吗？,"若订单仍未发货或可取消，一般可先提交取消申请，再根据审核结果处理退款。
为尽快帮你核实处理，建议补充：订单号、订单状态、支付方式、退款原因。"
43,service,0.8182,medium,1,1,0,0,90,0,False,False,0.0625,False,False,0,service,0.828,我购买的商品，快递送达时，我不在家，怎么办？,"乡镇、偏远地区或国际地址能否送达，以及运费和时效，通常需要结合收货地区、承运方式和订单信息核实。
为尽快帮你核实处理，建议补充：订单号、物流单号、收货地区、下单时间、物流异常截图。"
44,service,0.8333,medium,1,1,0,0,91,0,False,False,0.0667,False,True,0,manual,0.7876,请问你们的优惠券能用于所有商品吗？,"若商品仍在7天无理由时效内，且商品及包装保持完好、不影响二次销售，一般可申请退货或换货。
为尽快帮你核实处理，建议补充：订单号、签收时间、商品状态、包装是否完整、商品类型、物流单号。"
45,service,0.8462,low,1,1,0,0,105,0,False,False,0.125,False,True,0,service,0.8277,请问你们的商品能提供终身维修服务吗？,"若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象和售后凭证，再判断是否走免费维修、换货或其他售后流程。
为尽快帮你核实处理，建议补充：订单号、购买时间、故障描述、维修单号、售后凭证、维修承诺时限。"
46,service,0.75,medium,1,1,0,0,79,0,False,False,0.0635,False,True,0,service,0.8693,我上个月购买的家电，使用不到一个月就出现故障，联系售后寄回维修，现在已经维修15天了，还没收到，而且我发现商品是翻新机，并非全新，要求退货退款并赔偿，请问该怎么处理？,"若订单已发货或已签收，通常需要结合物流状态或售后审核结果判断是直接退款还是先走退货流程。
为尽快帮你核实处理，建议补充：订单号、订单状态、支付方式、退款原因。"
47,service,0.7778,medium,1,1,0,0,82,0,False,False,0.0725,False,True,0,service,0.9054,"我在你们平台批量购买了100件商品用于企业采购，收到货后发现有20件存在质量问题，15件少发，而且发票开错了抬头，需要重新开具，同时想申请质量问题商品的换货和少发商品的补寄，请问流程是什么？"",","开票前需要先确认订单是否支持开票，以及需要电子发票还是纸质发票、个人抬头还是企业抬头。
为尽快帮你核实处理，建议补充：订单号、发票类型、抬头信息、税号、是否已开具。"
48,service,0.75,medium,1,1,0,0,79,0,False,False,0.0323,False,True,0,service,0.9759,我购买的食品类商品，收到后发现生产日期临近过期，而且包装破损，部分商品受潮无法食用，我要求退货退款并赔偿，同时担心食用了受潮商品影响健康，请问能提供相关保障吗？,"若订单已发货或已签收，通常需要结合物流状态或售后审核结果判断是直接退款还是先走退货流程。
为尽快帮你核实处理，建议补充：订单号、订单状态、支付方式、退款原因。"
49,service,0.8182,low,1,1,0,0,83,0,False,False,0.1707,False,True,0,service,0.976,我购买的商品包装破损，商品出现损坏，而且快递员拒绝承认是运输问题，同时我已经签收商品，请问还能申请售后吗？,"若包装破损或商品损坏，通常需要尽快保留外包装、快递面单和商品细节照片。
为尽快帮你核实处理，建议补充：订单号、签收时间、外包装照片、商品损坏照片、物流单号、商品照片。"
50,service,0.8182,low,1,1,0,0,87,0,False,False,0.1667,False,True,0,service,0.6214,我购买的大家电需要上门安装，但是安装人员上门后说需要额外收取配件费，而且安装服务原本应该是免费的，同时安装人员操作不规范，导致家电出现轻微损坏，请问该怎么处理？,"若原本承诺为免费安装，但现场另行收取配件费或其他费用，需要先核实收费项目、收费依据和服务记录。
为尽快帮你核实处理，建议补充：订单号、商品型号、预约时间、收费明细、现场照片。"
51,service,0.8462,low,1,1,0,0,103,0,False,False,0.322,False,True,0,service,0.8179,"我购买的商品在质保期内出现质量问题，寄回维修后，维修人员说需要更换配件，而且要收取配件费，但是质保期内应该免费维修，同时维修时间已经超过承诺的7天，请问该怎么处理？"",","若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象和售后凭证，再判断是否走免费维修、换货或其他售后流程。
为尽快帮你核实处理，建议补充：订单号、商品型号、预约时间、收费明细、现场照片、购买时间。"
52,service,0.8182,low,1,1,0,0,87,0,False,False,0.1311,False,True,0,service,0.7944,我购买的大型设备需要上门检修，但是检修人员上门后说设备故障无法现场修复，需要拉回仓库维修，而且维修时间不确定，同时我担心设备拉回过程中出现损坏，请问该怎么处理？,"若安装或检修过程中造成商品或现场损坏，需要及时保留照片、收费记录和服务单，以便进一步判责处理。
为尽快帮你核实处理，建议补充：订单号、商品型号、预约时间、收费明细、现场照片。"
53,service,0.875,low,2,2,0,0,241,0,False,True,1.0,False,False,0,manual,0.7708,我想试用商品，但是试用期间商品出现故障，而且不是人为操作导致的，同时我想延长试用期限，请问可以吗？另外故障商品能更换吗？,"我先按你的问题逐项说明：
1. 关于“我想试用商品，但是试用期间商品出现故障，而且不是人为操作导致的，同时我想延长试用期限，请问可以吗”：试用期间若商品出现非人为故障，通常需要先确认商品状态、故障描述和活动规则，再判断能否更换、继续试用或终止试用。
2. 关于“另外故障商品能更换吗”：试用期间若商品出现非人为故障，通常需要先确认商品状态、故障描述和活动规则，再判断能否更换、继续试用或终止试用。
为尽快帮你核实处理，建议补充：活动信息、订单号、试用状态、故障描述、问题照片/视频。"
54,service,0.75,medium,1,1,0,0,79,0,False,False,0.0392,False,True,0,service,0.8062,我购买的商品，收到后发现是临期商品（还有15天过期），但下单时页面未标注临期，而且商品包装上也没有临期提示，我要求退货退款并赔偿，请问可以吗？,"若订单已发货或已签收，通常需要结合物流状态或售后审核结果判断是直接退款还是先走退货流程。
为尽快帮你核实处理，建议补充：订单号、订单状态、支付方式、退款原因。"
55,service,0.8333,low,1,1,0,0,91,0,False,False,0.0889,False,True,0,service,0.7111,我购买的商品，收到后发现商品的颜色和详情页描述的不一致，详情页是深红色，实际收到的是浅红色，而且商品有轻微的异味，想申请换货,"若商品仍在7天无理由时效内，且商品及包装保持完好、不影响二次销售，一般可申请退货或换货。
为尽快帮你核实处理，建议补充：订单号、签收时间、商品状态、包装是否完整、商品类型、使用情况。"
57,service,0.8182,low,1,1,0,0,83,0,False,False,0.1579,False,True,0,service,0.9474,我购买的商品，快递寄到后，我拆开包装发现商品损坏，但是快递员已经离开，没有当场验货，请问还能申请售后吗？,"若包装破损或商品损坏，通常需要尽快保留外包装、快递面单和商品细节照片。
为尽快帮你核实处理，建议补充：订单号、签收时间、外包装照片、商品损坏照片、物流单号、购买时间。"
58,service,0.7778,medium,1,1,0,0,73,0,False,False,0.0351,False,True,0,service,0.8548,"我购买的商品，使用时发现商品的功能和详情页描述的不一致，详情页说支持无线充电，实际不支持，而且商品的续航时间也比描述的短很多，要求退货退款并赔偿，请问可以吗？"",","退款通常会按原支付路径退回，到账时间与支付方式、银行或支付机构处理时效有关。
为尽快帮你核实处理，建议补充：订单号、订单状态、支付方式、退款原因。"
64,manual,0.9487,low,1,0,0,1,437,5,True,True,0.6875,False,False,1,manual,0.9019,使用吹风机时，人员需要佩戴哪些防护装备？,根据[吹风机手册]，相关要点如下： 1. 、全面检修及纠正性维护的人员编写。 吹风机上设有警示标识，相关图示见第 3 页。若吹风机上的任何警示标识出现破损或磨损，应尽快订购新标识并安装。注意部分警示标识为吹风机部件一体成型。 本吹风机用于吹扫地面落叶及其他杂物。操作吹风机时，操作人员必须双脚稳固站立在地面上。 <PIC> # 个人防护装备 使用吹风机的人员需佩戴以下防护装备： 2. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 3. 饮酒、服药后或疲劳状态下请勿操作吹风机。 4. 按单独说明安装辅助手柄。 # 吸尘作业 开始吸尘前，佩戴所需防护装备。 <PIC> <PIC> 操作吹风机时，设备与集尘袋需通过肩带固定，按图示将肩带挎在肩上。<PIC>警告！启动吹风机前，务必检查集尘袋完好且拉链闭合，严禁使用破损集尘袋，避免杂物飞溅伤人。操作时需小心，尤其是左手操作时。避免身体直接接触排气口区域。 相关图示：<PIC> <PIC>
65,manual,0.913,low,1,0,0,1,296,5,True,True,0.5625,False,False,1,manual,0.9683,操作吹风机时，人员需要注意哪些安全要点？,根据[吹风机手册]，相关要点如下： 1. 、全面检修及纠正性维护的人员编写。 吹风机上设有警示标识，相关图示见第 3 页。若吹风机上的任何警示标识出现破损或磨损，应尽快订购新标识并安装。注意部分警示标识为吹风机部件一体成型。 本吹风机用于吹扫地面落叶及其他杂物。操作吹风机时，操作人员必须双脚稳固站立在地面上。 <PIC> # 个人防护装备 使用吹风机的人员需佩戴以下防护装备： 2. 饮酒、服药后或疲劳状态下请勿操作吹风机。 3. 操作人员必须阅读并理解本说明书内容。 4. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 相关图示：<PIC> <PIC>
66,manual,0.9429,low,1,0,0,1,437,5,True,True,0.8182,False,False,1,manual,0.9157,使用吹风机时，如何调节化油器？,根据[吹风机手册]，相关要点如下： 1. 使用吹风机后，清理杂物并投入垃圾桶。 # 吹风机部件 2. 化油器调节螺钉 3. 安全说明。产品描述 燃油处理 .12 启动与停机 . .14 吹风机使用 .16 维护保养 20 技术参数. .25 排放控制装置和系统的维护、更换或维修可由任何非道路发动机维修机构或个人进行。 胡斯华纳公司秉持产品持续开发政策，因此保留在不事先通知的情况下修改产品设计与外观的权利。 本使用说明书详细介绍了吹风机的使用、保养及日常维护方法。同时说明操作吹风机时如何实现最高安全性、安全装置的工作方式及维护方法。 注意！所有接触本吹风机的人员均必须阅读并理解说明书中涉及安全的章节。 <PIC> 本使用说明书专为需要对吹风机进行故障排查、全面检修及纠正性维护的人员编写。 吹风机上设有警示标识，相关图示见第 3 页。 4. <PIC> # 225B 使用说明书 使用吹风机前，请仔细阅读使用说明书并确保理解相关内容。 相关图示：<PIC> <PIC>
67,manual,0.9672,low,1,0,0,1,719,5,True,True,0.5556,False,False,1,manual,0.9244,吹风机冷机时，该如何启动？,根据[吹风机手册]，相关要点如下： 1. 安全说明。产品描述 燃油处理 .12 启动与停机 . .14 吹风机使用 .16 维护保养 20 技术参数. .25 排放控制装置和系统的维护、更换或维修可由任何非道路发动机维修机构或个人进行。 胡斯华纳公司秉持产品持续开发政策，因此保留在不事先通知的情况下修改产品设计与外观的权利。 本使用说明书详细介绍了吹风机的使用、保养及日常维护方法。同时说明操作吹风机时如何实现最高安全性、安全装置的工作方式及维护方法。 注意！所有接触本吹风机的人员均必须阅读并理解说明书中涉及安全的章节。 <PIC> 本使用说明书专为需要对吹风机进行故障排查、全面检修及纠正性维护的人员编写。 吹风机上设有警示标识，相关图示见第 3 页。 2. 将喷口（14）安装至吹风管（15），旋转 90 度直至听到咔嗒声。 <PIC> # 吹扫作业 开始吹扫前，佩戴所需防护装备。 <PIC> <PIC> 操作吹风机时，需通过肩带固定设备，按图示将肩带挎在肩上。 <PIC> <PIC> 警告！ 严禁将吹风机喷口对准人或动物。高速气流可能夹带颗粒物，尤其吹风机曾用于吸尘作业时，易造成严重伤害。 操作时需小心，尤其是左手操作时。避免身体直接接触排气口区域。 警告！检修盖未关闭、损坏或无法闭合时，严禁启动吹风机（安装吸尘管时除外）。 警告！站在梯子或支架上时严禁操作吹风机。 3. # 空气滤清器（9） 空气滤清器由泡沫橡胶滤材与塑料外壳组成，需定期清洁，否则吹风机油耗升高、性能下降，火花塞电极可能产生油垢 4. B）（12） 叶轮上固定两把切割刀，用于粉碎吸入的落叶及杂物，再进入风扇进气口 相关图示：<PIC> <PIC>
68,manual,0.9726,low,1,0,0,1,861,5,True,True,0.5556,False,False,1,manual,0.9518,吹风机热机时，该如何启动？,根据[吹风机手册]，相关要点如下： 1. 安全说明。产品描述 燃油处理 .12 启动与停机 . .14 吹风机使用 .16 维护保养 20 技术参数. .25 排放控制装置和系统的维护、更换或维修可由任何非道路发动机维修机构或个人进行。 胡斯华纳公司秉持产品持续开发政策，因此保留在不事先通知的情况下修改产品设计与外观的权利。 本使用说明书详细介绍了吹风机的使用、保养及日常维护方法。同时说明操作吹风机时如何实现最高安全性、安全装置的工作方式及维护方法。 注意！所有接触本吹风机的人员均必须阅读并理解说明书中涉及安全的章节。 <PIC> 本使用说明书专为需要对吹风机进行故障排查、全面检修及纠正性维护的人员编写。 吹风机上设有警示标识，相关图示见第 3 页。 2. 将喷口（14）安装至吹风管（15），旋转 90 度直至听到咔嗒声。 <PIC> # 吹扫作业 开始吹扫前，佩戴所需防护装备。 <PIC> <PIC> 操作吹风机时，需通过肩带固定设备，按图示将肩带挎在肩上。 <PIC> <PIC> 警告！ 严禁将吹风机喷口对准人或动物。高速气流可能夹带颗粒物，尤其吹风机曾用于吸尘作业时，易造成严重伤害。 操作时需小心，尤其是左手操作时。避免身体直接接触排气口区域。 警告！检修盖未关闭、损坏或无法闭合时，严禁启动吹风机（安装吸尘管时除外）。 警告！站在梯子或支架上时严禁操作吹风机。 3. ，严禁启动吹风机（安装吸尘管时除外）。 警告！站在梯子或支架上时严禁操作吹风机。 按第 13 页说明启动吹风机，按以下要求作业： 4. 严禁将吹风机喷口对准娇嫩植物。 # 高速喷口（21） 高速喷口为吹风机配件，标准配置不含此件。 需要精准吹扫及高浓度气流时，将标准喷口（14）更换为高速喷口（21）。 <PIC> # 地面吸尘作业（225B X 系列） 吸尘装置为配件，标准配置不含此件。 <PIC> # 安装集尘袋及各类吸尘管 警告！安装管道至吹风机时，必须关闭发动机且停机开关处于停机位置。 相关图示：<PIC> <PIC>
