id,question,keywords,matched_keywords,keyword_coverage,result_count,top1_score,avg_score,recall@5,recall@3,inferred_route,heuristic_route,retrieval_mode,rule_route,strong_rule_route,classifier_label,classifier_confidence,classifier_used,service_result_count,manual_result_count,top_manuals,top_image_ids,hit_quality
47,"我在你们平台批量购买了100件商品用于企业采购，收到货后发现有20件存在质量问题，15件少发，而且发票开错了抬头，需要重新开具，同时想申请质量问题商品的换货和少发商品的补寄，请问流程是什么？"",",我在你们平台批量购买了|100|件商品用于企业采购|收到货后发现有|20|件存在质量问题|15|件少发|而且发票开错了抬头|需要重新开具|同时想申请质量问题商品的换货和少发商品的补寄|请问流程是什么,我在你们平台批量购买了|100|件商品用于企业采购|收到货后发现有|20|件存在质量问题|15|件少发|而且发票开错了抬头|需要重新开具|同时想申请质量问题商品的换货和少发商品的补寄|请问流程是什么,1.0,4,0.8254,0.7726,1.0,1.0,service,mixed,dual_route,service,service,service,0.7699,False,4,0,,,high
48,我购买的食品类商品，收到后发现生产日期临近过期，而且包装破损，部分商品受潮无法食用，我要求退货退款并赔偿，同时担心食用了受潮商品影响健康，请问能提供相关保障吗？,我购买的食品类商品|收到后发现生产日期临近过期|而且包装破损|部分商品受潮无法食用|我要求退货退款并赔偿|同时担心食用了受潮商品影响健康|请问能提供相关保障吗,我购买的食品类商品|收到后发现生产日期临近过期|而且包装破损|部分商品受潮无法食用|我要求退货退款并赔偿|同时担心食用了受潮商品影响健康|请问能提供相关保障吗,1.0,4,0.7282,0.676,1.0,1.0,service,service,dual_route,service,service,service,0.9071,False,4,0,,,high
49,我购买的商品包装破损，商品出现损坏，而且快递员拒绝承认是运输问题，同时我已经签收商品，请问还能申请售后吗？,我购买的商品包装破损|商品出现损坏|而且快递员拒绝承认是运输问题|同时我已经签收商品|请问还能申请售后吗,我购买的商品包装破损|商品出现损坏|而且快递员拒绝承认是运输问题|同时我已经签收商品|请问还能申请售后吗,1.0,4,0.5776,0.5311,1.0,1.0,service,mixed,dual_route,service,service,service,0.9281,False,4,0,,,low
50,我购买的大家电需要上门安装，但是安装人员上门后说需要额外收取配件费，而且安装服务原本应该是免费的，同时安装人员操作不规范，导致家电出现轻微损坏，请问该怎么处理？,我购买的大家电需要上门安装|但是安装人员上门后说需要额外收取配件费|而且安装服务原本应该是免费的|同时安装人员操作不规范|导致家电出现轻微损坏|请问该怎么处理,我购买的大家电需要上门安装|但是安装人员上门后说需要额外收取配件费|而且安装服务原本应该是免费的|同时安装人员操作不规范|导致家电出现轻微损坏|请问该怎么处理,1.0,4,0.8137,0.5629,1.0,1.0,service,mixed,dual_route,service,service,service,0.5851,False,4,0,,,high
51,"我购买的商品在质保期内出现质量问题，寄回维修后，维修人员说需要更换配件，而且要收取配件费，但是质保期内应该免费维修，同时维修时间已经超过承诺的7天，请问该怎么处理？"",",我购买的商品在质保期内出现质量问题|寄回维修后|维修人员说需要更换配件|而且要收取配件费|但是质保期内应该免费维修|同时维修时间已经超过承诺的|7|请问该怎么处理,我购买的商品在质保期内出现质量问题|寄回维修后|维修人员说需要更换配件|而且要收取配件费|但是质保期内应该免费维修|同时维修时间已经超过承诺的|7|请问该怎么处理,1.0,4,0.7154,0.6254,1.0,1.0,service,mixed,dual_route,service,service,service,0.724,False,4,0,,,medium
52,我购买的大型设备需要上门检修，但是检修人员上门后说设备故障无法现场修复，需要拉回仓库维修，而且维修时间不确定，同时我担心设备拉回过程中出现损坏，请问该怎么处理？,我购买的大型设备需要上门检修|但是检修人员上门后说设备故障无法现场修复|需要拉回仓库维修|而且维修时间不确定|同时我担心设备拉回过程中出现损坏|请问该怎么处理,我购买的大型设备需要上门检修|但是检修人员上门后说设备故障无法现场修复|需要拉回仓库维修|而且维修时间不确定|同时我担心设备拉回过程中出现损坏|请问该怎么处理,1.0,4,0.8088,0.5626,1.0,1.0,service,mixed,dual_route,service,service,service,0.707,False,4,0,,,high
53,我想试用商品，但是试用期间商品出现故障，而且不是人为操作导致的，同时我想延长试用期限，请问可以吗？另外故障商品能更换吗？,我想试用商品|但是试用期间商品出现故障|而且不是人为操作导致的|同时我想延长试用期限|请问可以吗|另外故障商品能更换吗,我想试用商品|但是试用期间商品出现故障|而且不是人为操作导致的|同时我想延长试用期限|请问可以吗|另外故障商品能更换吗,1.0,4,0.8151,0.5553,1.0,1.0,service,manual,dual_route,service,service,manual,0.6227,False,4,0,,,high
54,我购买的商品，收到后发现是临期商品（还有15天过期），但下单时页面未标注临期，而且商品包装上也没有临期提示，我要求退货退款并赔偿，请问可以吗？,我购买的商品|收到后发现是临期商品|还有|15|天过期|但下单时页面未标注临期|而且商品包装上也没有临期提示|我要求退货退款并赔偿|请问可以吗,我购买的商品|收到后发现是临期商品|还有|15|天过期|但下单时页面未标注临期|而且商品包装上也没有临期提示|我要求退货退款并赔偿|请问可以吗,1.0,4,0.7175,0.6667,1.0,1.0,service,service,dual_route,service,service,service,0.7873,False,4,0,,,medium
55,我购买的商品，收到后发现商品的颜色和详情页描述的不一致，详情页是深红色，实际收到的是浅红色，而且商品有轻微的异味，想申请换货,我购买的商品|收到后发现商品的颜色和详情页描述的不一致|详情页是深红色|实际收到的是浅红色|而且商品有轻微的异味|想申请换货,,0.0,4,0.5134,0.5084,1.0,1.0,service,service,dual_route,service,service,service,0.5629,False,4,0,,,low
57,我购买的商品，快递寄到后，我拆开包装发现商品损坏，但是快递员已经离开，没有当场验货，请问还能申请售后吗？,我购买的商品|快递寄到后|我拆开包装发现商品损坏|但是快递员已经离开|没有当场验货|请问还能申请售后吗,我购买的商品,0.1667,4,0.4961,0.4762,1.0,1.0,service,service,dual_route,service,service,service,0.8739,False,4,0,,,low
58,"我购买的商品，使用时发现商品的功能和详情页描述的不一致，详情页说支持无线充电，实际不支持，而且商品的续航时间也比描述的短很多，要求退货退款并赔偿，请问可以吗？"",",我购买的商品|使用时发现商品的功能和详情页描述的不一致|详情页说支持无线充电|实际不支持|而且商品的续航时间也比描述的短很多|要求退货退款并赔偿|请问可以吗,我购买的商品|使用时发现商品的功能和详情页描述的不一致|详情页说支持无线充电|实际不支持|而且商品的续航时间也比描述的短很多|要求退货退款并赔偿|请问可以吗,1.0,4,0.5331,0.5168,1.0,1.0,service,mixed,dual_route,service,service,service,0.7906,False,4,0,,,low
64,使用吹风机时，人员需要佩戴哪些防护装备？,使用吹风机时|人员需要佩戴哪些防护装备,,0.0,5,0.4372,0.3797,1.0,1.0,manual,manual,dual_route,manual,,manual,0.7493,True,0,5,吹风机手册|吹风机手册|吹风机手册,Manual04_1|Manual04_2|Manual04_3,low
65,操作吹风机时，人员需要注意哪些安全要点？,操作吹风机时|人员需要注意哪些安全要点,操作吹风机时,0.5,5,0.414,0.3953,1.0,1.0,manual,manual,dual_route,manual,,manual,0.8925,True,0,5,吹风机手册|吹风机手册|吹风机手册,Manual04_1|Manual04_2|Manual04_3,low
66,使用吹风机时，如何调节化油器？,使用吹风机时|如何调节化油器,,0.0,5,0.4786,0.4624,1.0,1.0,manual,manual,dual_route,manual,,manual,0.795,True,0,5,吹风机手册|吹风机手册|吹风机手册,Manual04_42,low
67,吹风机冷机时，该如何启动？,吹风机冷机时|该如何启动,,0.0,5,0.4158,0.4125,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8412,True,0,5,吹风机手册|吹风机手册|吹风机手册,Manual04_30|Manual04_31|Manual04_32|Manual04_33|Manual04_34,low
68,吹风机热机时，该如何启动？,吹风机热机时|该如何启动,,0.0,5,0.4252,0.4198,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.7959,True,0,5,吹风机手册|吹风机手册|吹风机手册,Manual04_38|Manual04_39|Manual04_40|Manual04_41,low
69,该如何关闭吹风机？,该如何关闭吹风机,,0.0,5,0.3693,0.3634,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.9313,True,0,5,吹风机手册|吹风机手册|吹风机手册,,low
70,空调的重要组成部件有哪些？,空调的重要组成部件有哪些,,0.0,5,0.2861,0.2714,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8785,True,0,5,空调手册|空调手册|空调手册,,low
71,如何找到空调遥控器的按键？,如何找到空调遥控器的按键,,0.0,5,0.5047,0.4249,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8308,True,0,5,空调手册|空调手册|空调手册,,low
72,如何给空调遥控器安装电池？,如何给空调遥控器安装电池,如何给空调遥控器安装电池,1.0,7,0.6873,0.4822,1.0,1.0,mixed,mixed,dual_route,mixed,mixed,manual,0.6262,False,2,5,空调手册|空调手册|空调手册,,medium
73,如何安装空调遥控器支架？,如何安装空调遥控器支架,如何安装空调遥控器支架,1.0,7,0.6871,0.4892,1.0,1.0,mixed,service,dual_route,mixed,mixed,service,0.705,False,2,5,空调手册|空调手册|空调手册,,medium
74,如何用空调快速调节室内温度？,如何用空调快速调节室内温度,,0.0,5,0.5469,0.3877,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8399,True,0,5,空调手册|空调手册|空调手册,Manual01_16,low
75,如何使用空调的自清洁运行功能？,如何使用空调的自清洁运行功能,,0.0,5,0.5197,0.4355,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9061,True,0,5,空调手册|空调手册|空调手册,Manual01_17,low
76,如何使用空调的等离子净化功能？,如何使用空调的等离子净化功能,,0.0,5,0.5024,0.4452,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9483,True,0,5,空调手册|空调手册|空调手册,Manual01_18,low
77,单冷型空调如何开启自动运行模式？,单冷型空调如何开启自动运行模式,,0.0,5,0.5464,0.4904,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8828,True,0,5,空调手册|空调手册|空调手册,Manual01_19,low
78,如何使用空调的自动转换运行功能？,如何使用空调的自动转换运行功能,,0.0,5,0.4434,0.3582,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9188,True,0,5,空调手册|空调手册|空调手册,Manual01_20,low
79,如何开启空调的节能制冷模式？,如何开启空调的节能制冷模式,,0.0,5,0.4892,0.3865,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8021,True,0,5,空调手册|空调手册|空调手册,Manual01_21,low
80,无遥控器时如何操作空调？,无遥控器时如何操作空调,,0.0,5,0.5974,0.4739,1.0,1.0,manual,manual,dual_route,manual,,manual,0.8574,True,0,5,空调手册|空调手册|空调手册,Manual01_22|Manual01_23|Manual01_24,low
81,如何让空调实现自动重启？,如何让空调实现自动重启,,0.0,5,0.4385,0.3563,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.6162,True,0,5,空调手册|空调手册|空调手册,,low
82,不同型号空调的清洁频率是多少？,不同型号空调的清洁频率是多少,,0.0,5,0.3196,0.3034,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9503,True,0,5,空调手册|空调手册|空调手册,,low
83,如何清洁空调的空气滤网？,如何清洁空调的空气滤网,,0.0,5,0.4791,0.401,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9036,True,0,5,空调手册|空调手册|空调手册,Manual01_29|Manual01_30,low
84,如何清洁空调的3M多重防护滤网？,如何清洁空调的|3m|多重防护滤网,3m|多重防护滤网,0.6667,5,0.5491,0.4383,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9113,True,0,5,空调手册|空调手册|空调手册,Manual01_31,low
85,如何清洁空调的等离子滤网？,如何清洁空调的等离子滤网,,0.0,5,0.5562,0.4709,1.0,1.0,manual,manual,dual_route,manual,,manual,0.8339,True,0,5,空调手册|空调手册|空调手册,Manual01_32,low
86,如何快速组装蒸汽清洁机？,如何快速组装蒸汽清洁机,,0.0,5,0.5804,0.564,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9271,True,0,5,蒸汽清洁机手册|蒸汽清洁机手册|蒸汽清洁机手册,Manual05_8|Manual05_9|Manual05_10|Manual05_11,low
87,蒸汽清洁机有哪些实用的产品功能？如何快速上手使用？,蒸汽清洁机有哪些实用的产品功能|如何快速上手使用,,0.0,5,0.5371,0.524,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9259,True,0,5,蒸汽清洁机手册|蒸汽清洁机手册|蒸汽清洁机手册,,low
88,如何使用蒸汽清洁机清洁硬质地面？,如何使用蒸汽清洁机清洁硬质地面,,0.0,5,0.6328,0.5474,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9344,True,0,5,蒸汽清洁机手册|蒸汽清洁机手册|蒸汽清洁机手册,,low
89,组装人体工学椅涉及哪些部件？,组装人体工学椅涉及哪些部件,,0.0,3,0.4293,0.4041,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8932,True,0,3,人体工学椅手册|人体工学椅手册|人体工学椅手册,Manual02_0|Manual02_1|Manual02_2|Manual02_3|Manual02_4,low
90,椅子的扶手使用一段时间后为什么会松动？,椅子的扶手使用一段时间后为什么会松动,,0.0,3,0.3683,0.3006,1.0,1.0,manual,manual,dual_route,manual,,manual,0.6756,True,0,3,人体工学椅手册|人体工学椅手册|人体工学椅手册,Manual02_7|Manual02_8|Manual02_9|Manual02_10|Manual02_11,low
91,这款椅子有哪些功能？,这款椅子有哪些功能,,0.0,3,0.2774,0.2759,1.0,1.0,manual,manual,dual_route,manual,,manual,0.7991,True,0,3,人体工学椅手册|人体工学椅手册|人体工学椅手册,Manual02_0|Manual02_1|Manual02_2|Manual02_3|Manual02_4,low
92,洗碗机的部件有哪些？,洗碗机的部件有哪些,,0.0,5,0.4106,0.3864,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8628,True,0,5,洗碗机手册|洗碗机手册|洗碗机手册,,low
93,首次使用时，如何将洗碗机连接到排水口？,首次使用时|如何将洗碗机连接到排水口,,0.0,5,0.396,0.3684,1.0,1.0,manual,manual,dual_route,manual,,manual,0.8554,True,0,5,洗碗机手册|洗碗机手册|洗碗机手册,,low
94,使用前如何为洗碗机添加专用盐？,使用前如何为洗碗机添加专用盐,,0.0,5,0.4225,0.4092,1.0,1.0,manual,manual,dual_route,manual,,manual,0.9171,True,0,5,洗碗机手册|洗碗机手册|洗碗机手册,Dish_washer_07|Dish_washer_01|Dish_washer_02,low
95,如何为洗碗机添加洗涤剂？,如何为洗碗机添加洗涤剂,,0.0,5,0.4641,0.4404,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.9653,True,0,5,洗碗机手册|洗碗机手册|洗碗机手册,,low
96,如何为洗碗机添加洗涤块？,如何为洗碗机添加洗涤块,,0.0,5,0.4426,0.4213,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.9559,True,0,5,洗碗机手册|洗碗机手册|洗碗机手册,,low
97,如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果？,如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果,,0.0,5,0.504,0.4821,1.0,1.0,manual,manual,dual_route,manual,,manual,0.8539,True,0,5,洗碗机手册|洗碗机手册|洗碗机手册,Manual06_6,low
98,哪些物品不适合在洗碗机中清洗？,哪些物品不适合在洗碗机中清洗,,0.0,5,0.4369,0.4055,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.7057,True,0,5,洗碗机手册|洗碗机手册|洗碗机手册,Manual06_7,low
99,如何根据洗碗机型号安装餐具篮？,如何根据洗碗机型号安装餐具篮,如何根据洗碗机型号安装餐具篮,1.0,7,0.5087,0.4609,1.0,1.0,mixed,service,dual_route,mixed,mixed,manual,0.7974,False,2,5,洗碗机手册|洗碗机手册|洗碗机手册,,low
100,使用洗碗机前如何安装可折叠下层篮架？,使用洗碗机前如何安装可折叠下层篮架,使用洗碗机前如何安装可折叠下层篮架,1.0,7,0.5101,0.4166,1.0,1.0,mixed,mixed,dual_route,mixed,mixed,manual,0.5237,False,2,5,洗碗机手册|洗碗机手册|洗碗机手册,,low
101,如何调节洗碗机满载时上下碗篮的高度？,如何调节洗碗机满载时上下碗篮的高度,,0.0,5,0.4618,0.3809,1.0,1.0,manual,unknown,dual_route,manual,,manual,0.8667,True,0,5,洗碗机手册|洗碗机手册|洗碗机手册,Manual06_13,low
